sale_id,customer_id,product_id,sale_date,quantity,unit_price,discount_rate,revenue,channel
83,112,20,2024-02-17,1,341.71,0.0,341.71,Online
84,8,14,2024-09-26,1,194.71,0.1,175.24,Direct
85,5,3,2024-08-30,1,97.31,0.05,92.44,Partner
86,25,1,2024-02-08,1,202.03,0.0,202.03,Partner
87,91,16,2024-04-30,3,131.16,0.0,393.48,Online
88,45,25,2024-04-15,1,225.87,0.0,225.87,Direct
89,26,14,2024-11-28,2,194.71,0.0,389.42,Partner
90,18,11,2024-09-09,1,251.67,0.0,251.67,Partner
91,84,23,2024-02-09,2,307.04,0.1,552.67,Partner
92,72,6,2024-12-16,1,133.44,0.0,133.44,Partner
93,106,4,2024-01-24,3,395.65,0.0,1186.95,Online
94,85,20,2024-11-19,2,341.71,0.0,683.42,Online
95,36,16,2024-04-11,2,131.16,0.05,249.2,Direct
96,66,21,2024-11-03,1,278.4,0.05,264.48,Direct
97,9,22,2024-06-18,2,359.07,0.0,718.14,Partner
98,114,2,2024-11-29,1,158.31,0.0,158.31,Online
99,101,2,2024-12-20,5,158.31,0.0,791.55,Partner
100,74,12,2024-11-14,3,361.12,0.0,1083.36,Online
101,99,18,2024-03-09,1,286.03,0.0,286.03,Direct
102,96,19,2024-09-03,1,138.32,0.0,138.32,Direct
103,87,17,2024-09-05,2,362.21,0.05,688.2,Partner
104,85,3,2024-12-10,2,97.31,0.0,194.62,Direct
105,104,20,2024-12-20,1,341.71,0.0,341.71,Direct
106,11,17,2024-12-11,2,362.21,0.0,724.42,Partner
107,44,20,2024-05-28,2,341.71,0.0,683.42,Online
108,1,13,2024-09-21,1,145.23,0.0,145.23,Partner
109,92,19,2024-08-25,1,138.32,0.0,138.32,Partner
110,20,11,2024-08-26,1,251.67,0.05,239.09,Direct
111,90,1,2024-10-08,3,202.03,0.05,575.79,Direct
112,79,6,2024-06-08,3,133.44,0.0,400.32,Direct
113,52,18,2024-08-30,3,286.03,0.1,772.28,Direct
114,57,2,2024-05-28,2,158.31,0.0,316.62,Partner
115,31,10,2024-02-09,1,294.85,0.0,294.85,Online
116,45,5,2024-08-18,3,206.77,0.0,620.31,Partner
117,40,14,2024-07-17,1,194.71,0.0,194.71,Direct
118,78,12,2024-04-17,1,361.12,0.0,361.12,Direct
119,55,25,2024-10-24,1,225.87,0.0,225.87,Direct
120,52,19,2024-03-13,1,138.32,0.0,138.32,Online
121,75,17,2024-09-25,1,362.21,0.05,344.1,Partner
122,32,18,2024-07-03,1,286.03,0.1,257.43,Direct
123,85,23,2024-11-04,2,307.04,0.1,552.67,Online
124,43,10,2024-09-17,2,294.85,0.05,560.22,Partner
125,59,9,2024-02-27,1,228.5,0.0,228.5,Online
126,32,24,2024-07-05,3,395.55,0.0,1186.65,Direct
127,31,4,2024-09-11,2,395.65,0.0,791.3,Partner
128,60,9,2024-07-20,1,228.5,0.0,228.5,Direct
129,113,18,2024-03-22,1,286.03,0.0,286.03,Direct
130,5,16,2024-09-08,3,131.16,0.0,393.48,Online
131,83,24,2024-08-18,2,395.55,0.0,791.1,Partner
132,62,8,2024-06-03,1,436.52,0.0,436.52,Online
133,22,10,2024-03-13,2,294.85,0.0,589.7,Partner
134,10,2,2024-06-25,2,158.31,0.1,284.96,Partner
135,107,4,2024-06-10,1,395.65,0.0,395.65,Direct
136,67,1,2024-06-18,5,202.03,0.0,1010.15,Direct
137,87,1,2024-06-15,1,202.03,0.0,202.03,Partner
138,15,19,2024-07-22,1,138.32,0.05,131.4,Direct
139,50,7,2024-04-10,2,459.69,0.0,919.38,Online
140,118,15,2024-01-07,3,381.95,0.0,1145.85,Online
141,31,11,2024-05-28,1,251.67,0.0,251.67,Partner
142,57,25,2024-07-09,2,225.87,0.0,451.74,Direct
143,89,15,2024-07-20,3,381.95,0.05,1088.56,Partner
144,34,11,2024-10-28,1,251.67,0.05,239.09,Direct
145,45,18,2024-07-03,1,286.03,0.0,286.03,Partner
146,108,17,2024-05-20,1,362.21,0.15,307.88,Direct
147,37,21,2024-05-23,1,278.4,0.05,264.48,Direct
148,43,13,2024-01-27,1,145.23,0.0,145.23,Online
149,103,18,2024-05-26,3,286.03,0.0,858.09,Online
150,35,17,2024-03-17,1,362.21,0.0,362.21,Direct
151,27,14,2024-05-16,1,194.71,0.0,194.71,Partner
152,69,19,2024-09-18,3,138.32,0.0,414.96,Partner
153,4,18,2024-04-07,1,286.03,0.0,286.03,Partner
154,119,8,2024-08-07,1,436.52,0.05,414.69,Direct
155,103,5,2024-11-19,1,206.77,0.0,206.77,Partner
156,84,9,2024-10-10,2,228.5,0.0,457.0,Online
157,61,9,2024-04-14,2,228.5,0.0,457.0,Online
158,93,3,2024-02-11,2,97.31,0.0,194.62,Direct
159,64,23,2024-07-29,2,307.04,0.0,614.08,Partner
160,108,8,2024-11-10,2,436.52,0.1,785.74,Direct
161,80,16,2024-11-25,2,131.16,0.0,262.32,Partner
162,37,23,2024-09-05,5,307.04,0.1,1381.68,Direct
163,56,5,2024-10-08,1,206.77,0.05,196.43,Direct
164,3,22,2024-03-28,1,359.07,0.0,359.07,Partner
165,61,14,2024-07-31,1,194.71,0.0,194.71,Partner
166,85,15,2024-05-24,5,381.95,0.0,1909.75,Partner
167,72,23,2024-05-10,2,307.04,0.0,614.08,Online
168,15,17,2024-11-30,3,362.21,0.0,1086.63,Partner
169,63,25,2024-07-26,1,225.87,0.0,225.87,Online
170,57,11,2024-05-02,1,251.67,0.0,251.67,Partner
171,37,17,2024-09-04,2,362.21,0.0,724.42,Online
172,110,9,2024-12-08,2,228.5,0.0,457.0,Partner
173,71,9,2024-03-02,2,228.5,0.1,411.3,Direct
174,104,25,2024-11-25,2,225.87,0.05,429.15,Direct
175,49,23,2024-02-08,1,307.04,0.1,276.34,Direct
176,11,25,2024-09-13,1,225.87,0.0,225.87,Partner
177,85,15,2024-10-08,1,381.95,0.05,362.85,Direct
178,23,7,2024-08-19,2,459.69,0.0,919.38,Partner
179,74,3,2024-08-18,1,97.31,0.0,97.31,Partner
180,76,4,2024-03-12,1,395.65,0.0,395.65,Online
181,80,13,2024-04-08,1,145.23,0.0,145.23,Direct
182,16,12,2024-02-16,1,361.12,0.1,325.01,Direct
183,33,13,2024-06-24,1,145.23,0.0,145.23,Online
184,36,19,2024-02-16,1,138.32,0.0,138.32,Partner
185,116,3,2024-05-02,2,97.31,0.0,194.62,Partner
186,54,18,2024-05-12,1,286.03,0.0,286.03,Online
187,92,4,2024-04-13,2,395.65,0.0,791.3,Direct
188,78,10,2024-07-30,2,294.85,0.0,589.7,Partner
189,31,8,2024-07-30,2,436.52,0.0,873.04,Online
190,90,4,2024-09-25,2,395.65,0.0,791.3,Direct
191,9,14,2024-07-11,1,194.71,0.0,194.71,Partner
192,40,12,2024-06-22,3,361.12,0.05,1029.19,Direct
193,13,9,2024-09-12,1,228.5,0.0,228.5,Partner
194,92,10,2024-10-21,1,294.85,0.05,280.11,Partner
195,90,7,2024-03-05,1,459.69,0.0,459.69,Online
196,55,14,2024-09-14,2,194.71,0.0,389.42,Online
197,82,17,2024-11-18,5,362.21,0.0,1811.05,Direct
198,97,7,2024-02-17,1,459.69,0.0,459.69,Partner
199,78,15,2024-05-07,2,381.95,0.15,649.31,Partner
200,98,20,2024-07-23,1,341.71,0.05,324.62,Online
201,6,21,2024-08-16,2,278.4,0.0,556.8,Partner
202,46,16,2024-06-08,1,131.16,0.0,131.16,Direct
203,26,2,2024-03-06,1,158.31,0.0,158.31,Direct
204,93,1,2024-08-05,1,202.03,0.0,202.03,Online
205,113,1,2024-08-30,1,202.03,0.15,171.73,Online
206,5,6,2024-09-07,3,133.44,0.05,380.3,Direct
207,31,18,2024-02-07,2,286.03,0.0,572.06,Partner
208,6,25,2024-09-27,1,225.87,0.0,225.87,Partner
209,81,25,2024-08-17,1,225.87,0.0,225.87,Direct
210,5,7,2024-02-25,2,459.69,0.0,919.38,Direct
211,8,7,2024-03-20,2,459.69,0.0,919.38,Direct
212,47,12,2024-09-24,3,361.12,0.0,1083.36,Online
213,16,14,2024-02-25,1,194.71,0.05,184.97,Online
214,66,8,2024-12-24,2,436.52,0.0,873.04,Online
215,28,16,2024-08-22,2,131.16,0.1,236.09,Direct
216,28,17,2024-10-09,2,362.21,0.1,651.98,Direct
217,81,22,2024-01-01,1,359.07,0.05,341.12,Direct
218,113,17,2024-04-29,1,362.21,0.0,362.21,Online
219,10,13,2024-01-20,1,145.23,0.0,145.23,Online
220,69,3,2024-06-04,1,97.31,0.0,97.31,Direct
221,50,9,2024-11-16,3,228.5,0.1,616.95,Partner
222,89,18,2024-09-27,2,286.03,0.0,572.06,Online
223,75,8,2024-08-11,1,436.52,0.0,436.52,Online
224,74,6,2024-02-27,2,133.44,0.1,240.19,Direct
225,9,3,2024-02-06,1,97.31,0.05,92.44,Partner
226,23,10,2024-09-25,2,294.85,0.05,560.22,Online
227,23,24,2024-04-08,2,395.55,0.0,791.1,Partner
228,33,12,2024-05-13,1,361.12,0.0,361.12,Direct
229,5,17,2024-11-03,5,362.21,0.15,1539.39,Direct
230,23,25,2024-01-06,2,225.87,0.0,451.74,Online
231,66,15,2024-06-03,1,381.95,0.15,324.66,Partner
232,70,10,2024-05-22,1,294.85,0.0,294.85,Partner
233,32,17,2024-11-26,2,362.21,0.1,651.98,Direct
234,75,18,2024-08-31,1,286.03,0.0,286.03,Online
235,24,11,2024-04-30,1,251.67,0.05,239.09,Online
236,86,7,2024-05-06,1,459.69,0.05,436.71,Direct
237,31,24,2024-07-29,1,395.55,0.0,395.55,Online
238,38,7,2024-11-28,3,459.69,0.0,1379.07,Partner
239,6,20,2024-01-29,1,341.71,0.05,324.62,Direct
240,6,23,2024-04-09,1,307.04,0.0,307.04,Partner
241,98,15,2024-12-11,1,381.95,0.0,381.95,Online
242,62,7,2024-08-03,2,459.69,0.0,919.38,Direct
243,37,8,2024-05-11,1,436.52,0.0,436.52,Direct
244,7,12,2024-12-07,3,361.12,0.0,1083.36,Partner
245,30,11,2024-07-08,1,251.67,0.05,239.09,Direct
246,43,5,2024-09-09,1,206.77,0.0,206.77,Direct
247,90,25,2024-12-22,1,225.87,0.05,214.58,Partner
248,99,17,2024-08-03,1,362.21,0.0,362.21,Partner
249,27,21,2024-12-15,3,278.4,0.0,835.2,Partner
250,9,2,2024-04-11,2,158.31,0.0,316.62,Direct
251,93,5,2024-05-29,3,206.77,0.15,527.26,Online
252,101,18,2024-09-15,1,286.03,0.0,286.03,Direct
253,30,19,2024-04-15,2,138.32,0.0,276.64,Partner
254,102,10,2024-04-12,2,294.85,0.0,589.7,Partner
255,25,2,2024-04-09,3,158.31,0.0,474.93,Direct
256,97,18,2024-08-26,1,286.03,0.0,286.03,Direct
257,118,4,2024-05-15,1,395.65,0.05,375.87,Partner
258,80,25,2024-02-25,1,225.87,0.0,225.87,Online
259,35,21,2024-09-10,5,278.4,0.0,1392.0,Online
260,14,1,2024-04-05,1,202.03,0.05,191.93,Direct
261,2,23,2024-09-05,1,307.04,0.0,307.04,Partner
262,101,15,2024-12-06,1,381.95,0.0,381.95,Direct
263,74,24,2024-10-31,5,395.55,0.1,1779.98,Direct
264,24,24,2024-07-20,1,395.55,0.0,395.55,Direct
265,107,19,2024-04-19,5,138.32,0.0,691.6,Direct
266,85,4,2024-11-01,2,395.65,0.0,791.3,Direct
267,55,1,2024-07-31,3,202.03,0.0,606.09,Direct
268,8,15,2024-12-29,1,381.95,0.0,381.95,Direct
269,18,22,2024-04-04,1,359.07,0.0,359.07,Partner
270,71,6,2024-08-18,1,133.44,0.0,133.44,Online
271,55,2,2024-06-09,1,158.31,0.0,158.31,Online
272,63,19,2024-02-27,1,138.32,0.0,138.32,Direct
273,28,17,2024-03-25,1,362.21,0.1,325.99,Partner
274,17,2,2024-04-07,1,158.31,0.0,158.31,Direct
275,70,15,2024-11-30,1,381.95,0.0,381.95,Online
276,68,2,2024-08-27,2,158.31,0.05,300.79,Direct
277,53,18,2024-06-08,1,286.03,0.05,271.73,Online
278,119,18,2024-07-12,1,286.03,0.0,286.03,Partner
279,64,17,2024-06-18,3,362.21,0.05,1032.3,Partner
280,22,22,2024-03-27,3,359.07,0.0,1077.21,Direct
281,27,14,2024-01-02,3,194.71,0.0,584.13,Direct
282,12,18,2024-05-23,5,286.03,0.0,1430.15,Direct
283,115,4,2024-06-28,3,395.65,0.0,1186.95,Partner
284,70,11,2024-03-04,2,251.67,0.05,478.17,Online
285,25,20,2024-04-16,1,341.71,0.0,341.71,Partner
286,62,10,2024-07-01,5,294.85,0.1,1326.83,Partner
287,64,23,2024-08-09,1,307.04,0.15,260.98,Direct
288,99,10,2024-01-26,1,294.85,0.0,294.85,Online
289,60,22,2024-08-30,1,359.07,0.0,359.07,Direct
290,28,7,2024-07-09,1,459.69,0.0,459.69,Online
291,20,13,2024-08-16,1,145.23,0.0,145.23,Direct
292,26,5,2024-06-14,2,206.77,0.0,413.54,Partner
293,93,8,2024-08-30,2,436.52,0.05,829.39,Direct
294,31,19,2024-11-19,1,138.32,0.0,138.32,Partner
295,88,24,2024-05-06,1,395.55,0.0,395.55,Online
296,50,19,2024-07-26,1,138.32,0.0,138.32,Direct
297,42,14,2024-07-11,3,194.71,0.0,584.13,Direct
298,35,16,2024-08-25,1,131.16,0.0,131.16,Direct
299,100,15,2024-02-01,1,381.95,0.0,381.95,Partner
300,57,1,2024-04-09,1,202.03,0.0,202.03,Online
301,93,18,2024-02-02,3,286.03,0.05,815.19,Online
302,104,3,2024-06-22,1,97.31,0.0,97.31,Partner
303,51,17,2024-05-19,1,362.21,0.1,325.99,Partner
304,1,25,2024-11-11,1,225.87,0.0,225.87,Direct
305,63,7,2024-05-14,2,459.69,0.15,781.47,Online
306,20,6,2024-12-19,1,133.44,0.0,133.44,Partner
307,93,16,2024-05-21,1,131.16,0.0,131.16,Partner
308,36,23,2024-01-02,1,307.04,0.0,307.04,Online
309,7,7,2024-10-31,1,459.69,0.0,459.69,Online
310,94,23,2024-02-03,1,307.04,0.0,307.04,Direct
311,55,11,2024-04-29,2,251.67,0.0,503.34,Direct
312,86,21,2024-08-31,1,278.4,0.0,278.4,Online
313,14,10,2024-08-26,2,294.85,0.0,589.7,Partner
314,78,2,2024-05-08,1,158.31,0.0,158.31,Partner
315,114,1,2024-09-09,3,202.03,0.0,606.09,Direct
316,91,3,2024-09-11,1,97.31,0.05,92.44,Direct
317,83,19,2024-01-05,1,138.32,0.0,138.32,Online
318,96,24,2024-06-04,2,395.55,0.0,791.1,Online
319,99,6,2024-03-18,2,133.44,0.0,266.88,Online
320,11,5,2024-04-30,1,206.77,0.0,206.77,Partner
321,4,14,2024-06-12,1,194.71,0.0,194.71,Partner
322,114,18,2024-07-04,1,286.03,0.1,257.43,Online
323,69,1,2024-02-10,1,202.03,0.05,191.93,Online
324,82,3,2024-04-11,2,97.31,0.05,184.89,Partner
325,102,5,2024-03-22,3,206.77,0.1,558.28,Direct
326,89,2,2024-07-27,1,158.31,0.1,142.48,Direct
327,90,7,2024-11-28,2,459.69,0.0,919.38,Direct
328,65,19,2024-09-03,3,138.32,0.05,394.21,Online
329,85,8,2024-10-05,1,436.52,0.05,414.69,Partner
330,31,4,2024-03-23,3,395.65,0.0,1186.95,Partner
331,2,20,2024-02-23,3,341.71,0.0,1025.13,Direct
332,72,12,2024-05-15,2,361.12,0.0,722.24,Online
333,93,9,2024-02-13,1,228.5,0.0,228.5,Direct
334,75,20,2024-02-19,1,341.71,0.0,341.71,Partner
335,95,14,2024-09-12,2,194.71,0.0,389.42,Online
336,84,25,2024-08-16,2,225.87,0.0,451.74,Direct
337,24,24,2024-04-29,2,395.55,0.0,791.1,Direct
338,14,7,2024-08-01,1,459.69,0.0,459.69,Partner
339,27,25,2024-11-13,1,225.87,0.05,214.58,Online
340,9,9,2024-04-30,1,228.5,0.0,228.5,Online
341,97,25,2024-10-02,1,225.87,0.1,203.28,Online
342,19,7,2024-03-03,1,459.69,0.1,413.72,Partner
343,24,7,2024-05-30,2,459.69,0.05,873.41,Partner
344,53,8,2024-10-17,1,436.52,0.0,436.52,Partner
345,65,6,2024-07-09,1,133.44,0.0,133.44,Partner
346,16,2,2024-05-13,2,158.31,0.1,284.96,Direct
347,52,25,2024-08-12,2,225.87,0.0,451.74,Direct
348,19,1,2024-04-05,1,202.03,0.0,202.03,Direct
349,59,3,2024-04-30,1,97.31,0.1,87.58,Direct
350,21,15,2024-05-24,1,381.95,0.0,381.95,Online
351,91,12,2024-04-06,2,361.12,0.0,722.24,Partner
352,83,23,2024-02-03,1,307.04,0.0,307.04,Partner
353,21,8,2024-05-08,2,436.52,0.0,873.04,Direct
354,104,12,2024-09-16,2,361.12,0.0,722.24,Online
355,17,17,2024-04-28,1,362.21,0.0,362.21,Online
356,119,16,2024-02-21,1,131.16,0.0,131.16,Online
357,85,12,2024-08-25,3,361.12,0.0,1083.36,Direct
358,35,18,2024-02-22,2,286.03,0.0,572.06,Direct
359,106,18,2024-08-31,1,286.03,0.05,271.73,Direct
360,59,1,2024-08-17,1,202.03,0.0,202.03,Partner
361,38,23,2024-01-21,1,307.04,0.0,307.04,Partner
362,41,10,2024-04-29,1,294.85,0.0,294.85,Direct
363,61,20,2024-01-26,1,341.71,0.0,341.71,Direct
364,25,12,2024-11-03,1,361.12,0.15,306.95,Online
365,16,1,2024-04-09,5,202.03,0.0,1010.15,Direct
366,103,16,2024-07-09,1,131.16,0.0,131.16,Online
367,11,14,2024-04-01,2,194.71,0.0,389.42,Partner
368,13,11,2024-11-04,2,251.67,0.0,503.34,Partner
369,75,13,2024-12-06,2,145.23,0.0,290.46,Direct
370,108,10,2024-02-24,1,294.85,0.0,294.85,Online
371,79,3,2024-11-01,1,97.31,0.05,92.44,Online
372,111,17,2024-11-13,1,362.21,0.0,362.21,Partner
373,87,24,2024-04-21,2,395.55,0.0,791.1,Direct
374,112,19,2024-07-07,1,138.32,0.0,138.32,Partner
375,16,4,2024-03-13,1,395.65,0.1,356.08,Direct
376,60,10,2024-04-14,3,294.85,0.1,796.1,Partner
377,29,7,2024-01-20,1,459.69,0.0,459.69,Online
378,64,2,2024-11-29,3,158.31,0.1,427.44,Direct
379,34,12,2024-01-06,1,361.12,0.0,361.12,Partner
380,30,11,2024-07-28,1,251.67,0.1,226.5,Online
381,99,3,2024-07-09,1,97.31,0.0,97.31,Direct
382,46,24,2024-11-13,1,395.55,0.0,395.55,Partner
383,9,9,2024-02-09,1,228.5,0.0,228.5,Direct
384,58,12,2024-01-17,1,361.12,0.05,343.06,Partner
385,53,22,2024-10-07,1,359.07,0.0,359.07,Partner
386,46,10,2024-02-02,1,294.85,0.0,294.85,Partner
387,39,1,2024-02-21,3,202.03,0.0,606.09,Partner
388,75,5,2024-12-05,1,206.77,0.0,206.77,Online
389,89,20,2024-03-20,3,341.71,0.0,1025.13,Online
390,77,24,2024-09-30,2,395.55,0.0,791.1,Direct
391,41,23,2024-11-30,2,307.04,0.05,583.38,Direct
392,3,19,2024-07-22,1,138.32,0.0,138.32,Online
393,78,15,2024-05-18,1,381.95,0.0,381.95,Partner
394,83,20,2024-05-25,3,341.71,0.0,1025.13,Online
395,46,4,2024-06-06,1,395.65,0.1,356.08,Partner
396,18,1,2024-01-27,1,202.03,0.15,171.73,Partner
397,47,10,2024-10-17,1,294.85,0.0,294.85,Partner
398,100,9,2024-07-31,1,228.5,0.0,228.5,Partner
399,115,24,2024-01-10,1,395.55,0.0,395.55,Partner
400,45,18,2024-11-25,2,286.03,0.15,486.25,Direct
401,24,21,2024-07-19,5,278.4,0.0,1392.0,Online
402,72,12,2024-07-26,3,361.12,0.0,1083.36,Direct
403,32,17,2024-01-04,2,362.21,0.0,724.42,Partner
404,79,21,2024-03-21,1,278.4,0.0,278.4,Partner
405,4,13,2024-02-28,2,145.23,0.0,290.46,Direct
406,110,14,2024-07-26,5,194.71,0.0,973.55,Online
407,99,14,2024-07-05,3,194.71,0.0,584.13,Partner
408,82,6,2024-03-24,5,133.44,0.05,633.84,Direct
409,41,10,2024-01-08,1,294.85,0.0,294.85,Direct
410,60,5,2024-10-09,1,206.77,0.05,196.43,Direct
411,32,13,2024-11-24,1,145.23,0.0,145.23,Partner
412,21,13,2024-02-15,2,145.23,0.0,290.46,Online
413,103,23,2024-11-14,1,307.04,0.0,307.04,Partner
414,4,7,2024-09-15,3,459.69,0.0,1379.07,Direct
415,37,11,2024-03-15,1,251.67,0.0,251.67,Partner
416,32,2,2024-05-25,2,158.31,0.05,300.79,Direct
417,106,6,2024-09-23,1,133.44,0.0,133.44,Direct
418,33,6,2024-02-04,5,133.44,0.0,667.2,Direct
419,98,18,2024-07-15,1,286.03,0.0,286.03,Partner
420,112,22,2024-04-11,1,359.07,0.0,359.07,Partner
421,105,22,2024-03-05,2,359.07,0.0,718.14,Direct
422,3,1,2024-09-04,1,202.03,0.15,171.73,Partner
423,82,20,2024-01-28,1,341.71,0.0,341.71,Online
424,66,12,2024-11-21,1,361.12,0.1,325.01,Partner
425,100,16,2024-02-14,1,131.16,0.0,131.16,Online
426,46,17,2024-11-13,1,362.21,0.0,362.21,Online
427,25,10,2024-03-23,2,294.85,0.0,589.7,Online
428,103,11,2024-04-23,1,251.67,0.0,251.67,Online
429,11,18,2024-07-26,5,286.03,0.05,1358.64,Online
430,78,22,2024-04-10,1,359.07,0.05,341.12,Partner
431,26,7,2024-04-03,1,459.69,0.05,436.71,Online
432,30,18,2024-04-21,1,286.03,0.0,286.03,Direct
433,13,19,2024-07-23,5,138.32,0.0,691.6,Online
434,117,2,2024-03-21,1,158.31,0.0,158.31,Partner
435,68,4,2024-07-02,1,395.65,0.05,375.87,Direct
436,26,6,2024-03-17,1,133.44,0.0,133.44,Direct
437,66,8,2024-04-08,1,436.52,0.0,436.52,Direct
438,10,20,2024-10-14,1,341.71,0.0,341.71,Online
439,53,22,2024-01-20,2,359.07,0.0,718.14,Online
440,56,19,2024-06-14,3,138.32,0.0,414.96,Direct
441,88,23,2024-07-18,5,307.04,0.0,1535.2,Online
442,44,16,2024-08-21,1,131.16,0.0,131.16,Online
443,57,4,2024-11-17,1,395.65,0.0,395.65,Partner
444,12,19,2024-11-28,2,138.32,0.0,276.64,Partner
445,76,1,2024-06-06,2,202.03,0.05,383.86,Online
446,63,7,2024-05-07,1,459.69,0.0,459.69,Partner
447,31,1,2024-07-18,1,202.03,0.0,202.03,Online
448,2,13,2024-07-07,2,145.23,0.05,275.94,Partner
449,52,9,2024-09-14,1,228.5,0.0,228.5,Partner
450,110,21,2024-04-01,1,278.4,0.1,250.56,Direct
451,100,25,2024-01-02,2,225.87,0.0,451.74,Online
452,118,5,2024-09-07,2,206.77,0.0,413.54,Partner
