session_id,user_id,session_start_ts,channel,campaign_id,landing_page,device,session_month
30,u001140,2024-05-08 12:15:31,Organic,,/product,mobile,2024-05
31,u000371,2024-01-02 11:56:23,Search,1.0,/case-studies,desktop,2024-01
32,u001708,2024-03-25 22:33:22,Search,2.0,/demo,tablet,2024-03
33,u000628,2024-06-27 01:56:36,Search,1.0,/,mobile,2024-06
34,u000135,2024-01-05 11:03:46,Direct,,/pricing,desktop,2024-01
35,u000768,2024-04-22 02:28:34,Affiliate,6.0,/case-studies,mobile,2024-04
36,u001385,2024-09-25 21:34:11,Direct,,/product,tablet,2024-09
37,u000495,2024-09-01 14:12:51,Direct,,/blog,mobile,2024-09
38,u001520,2024-01-25 23:30:34,Search,1.0,/demo,desktop,2024-01
39,u001037,2024-06-08 09:44:26,Search,2.0,/case-studies,mobile,2024-06
40,u001795,2024-04-17 18:19:12,Organic,,/pricing,mobile,2024-04
41,u001151,2024-10-17 04:25:05,Organic,,/,desktop,2024-10
42,u001650,2024-06-24 05:53:51,Direct,,/blog,tablet,2024-06
43,u000990,2024-06-25 01:20:15,Organic,,/,desktop,2024-06
44,u000107,2024-04-06 00:49:26,Organic,,/demo,tablet,2024-04
45,u000594,2024-05-21 07:30:08,Paid Social,3.0,/blog,mobile,2024-05
46,u000350,2024-11-08 12:31:20,Organic,,/blog,mobile,2024-11
47,u001783,2024-11-07 14:47:07,Search,2.0,/case-studies,mobile,2024-11
48,u000310,2024-02-13 14:04:05,Paid Social,4.0,/,desktop,2024-02
49,u000286,2024-10-09 06:20:48,Organic,,/case-studies,tablet,2024-10
50,u001493,2024-06-21 18:15:26,Direct,,/blog,mobile,2024-06
51,u000435,2024-07-24 20:33:30,Affiliate,6.0,/pricing,desktop,2024-07
52,u001232,2024-08-23 07:08:57,Direct,,/blog,desktop,2024-08
53,u001191,2024-07-23 23:32:18,Organic,,/blog,desktop,2024-07
54,u000285,2024-01-01 08:09:15,Organic,,/product,tablet,2024-01
55,u000566,2024-01-05 03:42:33,Organic,,/pricing,tablet,2024-01
56,u000021,2024-02-01 23:01:30,Organic,,/blog,tablet,2024-02
57,u000258,2024-10-20 03:43:05,Search,1.0,/demo,tablet,2024-10
58,u000668,2024-04-26 20:39:15,Paid Social,3.0,/product,desktop,2024-04
59,u000527,2024-12-19 20:09:39,Direct,,/case-studies,desktop,2024-12
60,u001540,2024-08-03 06:18:00,Direct,,/pricing,mobile,2024-08
61,u000291,2024-07-26 03:56:05,Direct,,/,desktop,2024-07
62,u000193,2024-04-22 15:56:42,Organic,,/pricing,mobile,2024-04
63,u001315,2024-04-20 04:58:45,Organic,,/blog,mobile,2024-04
64,u000148,2024-12-16 04:32:46,Paid Social,3.0,/case-studies,desktop,2024-12
65,u000260,2024-10-25 21:36:12,Search,2.0,/product,desktop,2024-10
66,u000812,2024-08-15 18:42:12,Organic,,/blog,mobile,2024-08
67,u001273,2024-03-29 09:27:34,Organic,,/pricing,mobile,2024-03
68,u000377,2024-09-05 10:48:25,Affiliate,6.0,/pricing,tablet,2024-09
69,u001525,2024-09-14 04:16:40,Direct,,/product,mobile,2024-09
70,u001237,2024-05-14 15:09:36,Organic,,/case-studies,tablet,2024-05
71,u001790,2024-11-15 16:41:19,Search,1.0,/,desktop,2024-11
72,u000951,2024-02-22 04:34:58,Video,5.0,/blog,tablet,2024-02
73,u000360,2024-12-25 10:53:59,Paid Social,3.0,/demo,tablet,2024-12
74,u001240,2024-09-13 13:29:30,Organic,,/demo,tablet,2024-09
75,u000086,2024-01-26 11:37:09,Search,1.0,/blog,mobile,2024-01
76,u000634,2024-10-24 03:24:55,Search,2.0,/product,tablet,2024-10
77,u001004,2024-02-18 19:55:49,Paid Social,3.0,/product,tablet,2024-02
78,u000123,2024-02-12 10:40:05,Direct,,/product,tablet,2024-02
79,u001505,2024-12-04 07:04:31,Video,5.0,/product,desktop,2024-12
80,u000598,2024-08-07 06:00:40,Search,1.0,/,tablet,2024-08
81,u001669,2024-08-30 16:37:53,Direct,,/demo,mobile,2024-08
82,u000728,2024-01-30 10:23:57,Affiliate,6.0,/demo,tablet,2024-01
83,u000861,2024-01-04 13:31:27,Search,1.0,/,tablet,2024-01
84,u000151,2024-12-01 14:10:20,Video,5.0,/product,tablet,2024-12
85,u000041,2024-11-23 15:17:08,Video,5.0,/blog,tablet,2024-11
86,u001051,2024-11-07 11:25:40,Search,2.0,/blog,mobile,2024-11
87,u000462,2024-08-02 13:47:53,Search,1.0,/,tablet,2024-08
88,u000889,2024-02-21 18:16:37,Organic,,/,mobile,2024-02
89,u000565,2024-02-14 04:17:34,Organic,,/case-studies,tablet,2024-02
90,u001674,2024-03-03 01:02:29,Paid Social,4.0,/case-studies,desktop,2024-03
91,u000934,2024-02-10 21:36:57,Video,5.0,/blog,desktop,2024-02
92,u000671,2024-11-10 06:50:36,Organic,,/blog,mobile,2024-11
93,u001294,2024-08-01 09:05:45,Paid Social,3.0,/,desktop,2024-08
94,u000354,2024-11-24 20:28:42,Direct,,/blog,desktop,2024-11
95,u001469,2024-08-18 02:57:03,Organic,,/product,mobile,2024-08
96,u001597,2024-04-27 05:48:27,Video,5.0,/case-studies,tablet,2024-04
97,u001554,2024-01-30 23:28:25,Direct,,/product,tablet,2024-01
98,u001498,2024-07-04 09:18:14,Direct,,/product,tablet,2024-07
99,u001680,2024-12-15 17:35:25,Organic,,/case-studies,desktop,2024-12
100,u000503,2024-05-14 13:30:28,Paid Social,4.0,/blog,desktop,2024-05
101,u000627,2024-10-28 15:13:55,Organic,,/product,desktop,2024-10
102,u001690,2024-04-06 20:24:03,Organic,,/product,tablet,2024-04
103,u000014,2024-09-06 06:34:54,Search,1.0,/demo,mobile,2024-09
104,u000639,2024-12-20 22:46:19,Search,2.0,/case-studies,mobile,2024-12
105,u000186,2024-09-26 08:12:14,Direct,,/product,mobile,2024-09
106,u000163,2024-03-28 19:15:22,Organic,,/product,desktop,2024-03
107,u001270,2024-01-23 09:45:13,Paid Social,4.0,/case-studies,tablet,2024-01
108,u000947,2024-07-28 23:37:19,Direct,,/,mobile,2024-07
109,u001442,2024-05-22 15:47:40,Search,2.0,/pricing,tablet,2024-05
110,u000687,2024-10-10 14:23:53,Search,2.0,/case-studies,tablet,2024-10
111,u001396,2024-05-18 19:37:15,Organic,,/pricing,desktop,2024-05
112,u000168,2024-12-26 15:04:59,Affiliate,6.0,/demo,tablet,2024-12
113,u000521,2024-07-18 06:57:07,Video,5.0,/case-studies,tablet,2024-07
114,u000410,2024-08-08 12:13:19,Direct,,/pricing,tablet,2024-08
115,u001410,2024-04-03 00:25:00,Organic,,/demo,tablet,2024-04
116,u000777,2024-05-25 05:57:35,Paid Social,3.0,/blog,desktop,2024-05
117,u000823,2024-11-29 20:58:28,Direct,,/blog,desktop,2024-11
118,u001264,2024-12-08 05:01:13,Direct,,/case-studies,desktop,2024-12
119,u001372,2024-06-09 18:20:55,Organic,,/pricing,tablet,2024-06
120,u000788,2024-10-28 23:48:18,Video,5.0,/,mobile,2024-10
121,u000441,2024-08-03 20:50:49,Paid Social,3.0,/demo,tablet,2024-08
122,u001787,2024-11-26 17:26:42,Direct,,/case-studies,desktop,2024-11
123,u000039,2024-02-07 02:16:43,Affiliate,6.0,/product,tablet,2024-02
124,u000081,2024-01-24 17:15:30,Video,5.0,/product,desktop,2024-01
125,u001435,2024-12-01 22:05:01,Search,2.0,/pricing,mobile,2024-12
126,u001115,2024-04-12 20:43:49,Organic,,/pricing,mobile,2024-04
127,u000633,2024-05-15 20:13:02,Direct,,/pricing,desktop,2024-05
128,u000759,2024-01-09 09:35:56,Direct,,/,desktop,2024-01
129,u000341,2024-07-31 21:06:56,Paid Social,3.0,/product,desktop,2024-07
130,u001085,2024-11-16 22:09:49,Search,1.0,/demo,mobile,2024-11
131,u000855,2024-01-11 18:19:06,Search,2.0,/product,mobile,2024-01
132,u000462,2024-06-08 13:07:04,Organic,,/product,tablet,2024-06
133,u000958,2024-08-05 08:26:56,Search,1.0,/case-studies,tablet,2024-08
134,u000150,2024-11-26 20:36:32,Organic,,/,desktop,2024-11
135,u001706,2024-11-05 03:59:25,Direct,,/case-studies,tablet,2024-11
136,u000386,2024-08-05 10:53:28,Direct,,/pricing,mobile,2024-08
137,u001019,2024-06-23 20:35:47,Paid Social,4.0,/blog,tablet,2024-06
138,u001639,2024-01-09 14:55:40,Organic,,/case-studies,desktop,2024-01
139,u000313,2024-11-13 11:20:13,Direct,,/demo,mobile,2024-11
140,u000724,2024-12-18 16:00:06,Search,2.0,/demo,tablet,2024-12
141,u001285,2024-06-20 13:21:23,Organic,,/,mobile,2024-06
142,u001369,2024-06-05 08:49:50,Video,5.0,/pricing,tablet,2024-06
143,u000202,2024-02-02 09:14:04,Search,1.0,/demo,desktop,2024-02
144,u000722,2024-05-20 15:19:41,Organic,,/,mobile,2024-05
145,u000077,2024-11-22 09:04:15,Direct,,/product,desktop,2024-11
146,u000564,2024-10-04 05:20:16,Direct,,/case-studies,tablet,2024-10
147,u000819,2024-01-08 21:01:00,Direct,,/pricing,mobile,2024-01
148,u000214,2024-07-11 12:03:51,Paid Social,3.0,/demo,tablet,2024-07
149,u000513,2024-01-07 01:27:34,Organic,,/blog,mobile,2024-01
150,u001415,2024-04-22 11:48:24,Organic,,/pricing,tablet,2024-04
151,u001075,2024-03-25 12:09:05,Search,2.0,/,desktop,2024-03
152,u001695,2024-09-26 12:55:47,Organic,,/pricing,mobile,2024-09
153,u001030,2024-02-09 20:03:02,Search,1.0,/case-studies,desktop,2024-02
154,u001243,2024-03-11 15:54:18,Organic,,/product,tablet,2024-03
155,u001287,2024-02-26 23:56:56,Direct,,/case-studies,mobile,2024-02
156,u000044,2024-06-21 16:27:21,Search,2.0,/blog,desktop,2024-06
157,u000332,2024-02-22 05:23:05,Search,2.0,/,desktop,2024-02
158,u001392,2024-08-03 08:13:40,Paid Social,3.0,/pricing,tablet,2024-08
159,u001593,2024-02-15 11:17:38,Search,1.0,/demo,desktop,2024-02
160,u000431,2024-11-29 04:31:34,Organic,,/blog,tablet,2024-11
161,u001626,2024-05-10 11:44:32,Paid Social,4.0,/,desktop,2024-05
162,u000356,2024-03-24 08:53:22,Search,2.0,/product,mobile,2024-03
163,u001548,2024-09-30 19:06:35,Direct,,/blog,tablet,2024-09
164,u001533,2024-07-04 19:00:09,Affiliate,6.0,/pricing,tablet,2024-07
165,u001026,2024-01-16 22:44:09,Direct,,/blog,mobile,2024-01
166,u000464,2024-12-25 15:53:16,Paid Social,4.0,/blog,tablet,2024-12
167,u001572,2024-11-18 23:47:52,Paid Social,4.0,/,mobile,2024-11
168,u000831,2024-12-21 14:35:45,Paid Social,3.0,/demo,tablet,2024-12
169,u001376,2024-01-15 03:58:06,Video,5.0,/product,mobile,2024-01
170,u000056,2024-08-20 05:26:34,Video,5.0,/product,mobile,2024-08
171,u001363,2024-04-28 17:34:20,Video,5.0,/case-studies,mobile,2024-04
172,u000436,2024-07-27 18:58:48,Organic,,/product,tablet,2024-07
173,u000759,2024-01-06 10:20:35,Affiliate,6.0,/,mobile,2024-01
174,u000492,2024-02-16 18:23:41,Direct,,/case-studies,desktop,2024-02
175,u001257,2024-10-25 23:17:01,Direct,,/case-studies,desktop,2024-10
176,u001579,2024-10-30 23:57:59,Organic,,/blog,mobile,2024-10
177,u001333,2024-05-04 15:21:38,Organic,,/pricing,desktop,2024-05
178,u000378,2024-07-31 18:11:10,Direct,,/blog,desktop,2024-07
179,u000456,2024-08-25 09:39:11,Organic,,/blog,desktop,2024-08
180,u000544,2024-09-24 18:24:20,Paid Social,3.0,/product,desktop,2024-09
181,u000422,2024-06-27 08:35:33,Direct,,/,desktop,2024-06
182,u001202,2024-12-22 09:04:16,Direct,,/blog,desktop,2024-12
183,u001509,2024-02-11 21:59:40,Search,1.0,/case-studies,mobile,2024-02
184,u000325,2024-09-12 17:01:24,Organic,,/blog,mobile,2024-09
185,u000807,2024-01-17 00:02:37,Paid Social,3.0,/,tablet,2024-01
186,u001775,2024-10-31 20:50:31,Search,2.0,/product,desktop,2024-10
187,u000404,2024-03-30 00:08:33,Direct,,/blog,mobile,2024-03
188,u001782,2024-09-03 21:36:47,Direct,,/case-studies,tablet,2024-09
189,u001664,2024-07-24 19:20:55,Video,5.0,/case-studies,mobile,2024-07
190,u000056,2024-02-15 08:28:31,Organic,,/demo,mobile,2024-02
191,u001024,2024-04-07 13:32:20,Search,2.0,/blog,desktop,2024-04
192,u000798,2024-05-08 05:12:51,Organic,,/product,tablet,2024-05
193,u000918,2024-03-21 17:57:12,Paid Social,3.0,/demo,mobile,2024-03
194,u000768,2024-01-01 18:37:22,Direct,,/case-studies,desktop,2024-01
195,u001504,2024-03-21 11:35:42,Direct,,/blog,mobile,2024-03
196,u000408,2024-02-29 10:28:09,Direct,,/product,desktop,2024-02
197,u001739,2024-03-03 03:42:10,Paid Social,3.0,/case-studies,desktop,2024-03
198,u000510,2024-08-09 07:00:10,Organic,,/case-studies,mobile,2024-08
199,u000300,2024-06-02 20:54:23,Organic,,/demo,mobile,2024-06
200,u001398,2024-01-04 03:10:17,Affiliate,6.0,/case-studies,mobile,2024-01
201,u001053,2024-08-10 19:28:59,Direct,,/pricing,mobile,2024-08
202,u001020,2024-02-11 21:33:46,Direct,,/case-studies,desktop,2024-02
203,u000447,2024-11-27 10:17:42,Video,5.0,/case-studies,desktop,2024-11
204,u001330,2024-03-22 07:59:50,Paid Social,4.0,/,mobile,2024-03
205,u001727,2024-11-29 20:41:23,Organic,,/pricing,desktop,2024-11
206,u000119,2024-05-05 23:34:52,Paid Social,4.0,/case-studies,desktop,2024-05
207,u000124,2024-02-08 04:17:55,Search,1.0,/product,tablet,2024-02
208,u001047,2024-08-17 07:19:18,Organic,,/,tablet,2024-08
209,u000477,2024-09-22 04:15:23,Direct,,/product,tablet,2024-09
210,u000909,2024-04-11 23:25:21,Organic,,/blog,tablet,2024-04
211,u001101,2024-05-03 21:53:31,Search,2.0,/blog,tablet,2024-05
212,u000044,2024-11-19 17:38:00,Paid Social,4.0,/pricing,desktop,2024-11
213,u000823,2024-06-18 06:44:28,Direct,,/blog,tablet,2024-06
214,u001327,2024-01-05 14:53:11,Organic,,/blog,tablet,2024-01
215,u001053,2024-04-08 15:01:13,Organic,,/product,mobile,2024-04
216,u000900,2024-03-03 12:12:46,Organic,,/pricing,mobile,2024-03
217,u001746,2024-08-17 12:52:22,Direct,,/case-studies,desktop,2024-08
218,u001728,2024-07-22 01:52:03,Search,1.0,/product,tablet,2024-07
219,u001535,2024-01-29 10:48:39,Video,5.0,/demo,desktop,2024-01
220,u000317,2024-09-30 02:07:08,Paid Social,3.0,/,desktop,2024-09
221,u000670,2024-06-30 16:23:17,Paid Social,4.0,/demo,mobile,2024-06
222,u000099,2024-08-28 06:15:48,Organic,,/blog,mobile,2024-08
223,u000414,2024-02-28 19:38:35,Direct,,/pricing,mobile,2024-02
224,u001279,2024-01-06 09:13:24,Direct,,/pricing,mobile,2024-01
225,u000453,2024-11-21 13:50:11,Video,5.0,/pricing,tablet,2024-11
226,u001318,2024-05-17 07:40:58,Search,1.0,/case-studies,desktop,2024-05
227,u000251,2024-01-01 13:19:29,Video,5.0,/pricing,tablet,2024-01
228,u001433,2024-11-22 18:15:25,Search,1.0,/product,mobile,2024-11
229,u000175,2024-03-25 13:02:11,Direct,,/pricing,mobile,2024-03
230,u001228,2024-02-18 11:06:53,Video,5.0,/pricing,mobile,2024-02
231,u000885,2024-08-02 22:37:18,Direct,,/product,tablet,2024-08
232,u001431,2024-05-24 19:14:19,Organic,,/case-studies,mobile,2024-05
233,u000819,2024-09-13 08:01:32,Direct,,/demo,desktop,2024-09
234,u001652,2024-06-05 00:14:44,Video,5.0,/blog,mobile,2024-06
235,u001182,2024-05-13 14:21:45,Direct,,/blog,mobile,2024-05
236,u000828,2024-04-05 20:47:27,Organic,,/product,desktop,2024-04
237,u000374,2024-03-04 04:42:53,Video,5.0,/case-studies,mobile,2024-03
238,u001596,2024-02-22 02:23:33,Organic,,/demo,desktop,2024-02
239,u001474,2024-08-23 21:40:34,Organic,,/demo,tablet,2024-08
240,u001690,2024-05-07 18:19:11,Organic,,/pricing,desktop,2024-05
241,u000699,2024-05-19 02:29:26,Direct,,/demo,tablet,2024-05
242,u001006,2024-06-11 12:59:43,Direct,,/case-studies,desktop,2024-06
243,u000798,2024-10-22 13:41:28,Paid Social,4.0,/,mobile,2024-10
244,u000589,2024-12-04 02:01:11,Direct,,/product,mobile,2024-12
245,u000997,2024-11-16 20:32:14,Organic,,/demo,mobile,2024-11
246,u001544,2024-08-04 21:56:51,Paid Social,3.0,/demo,desktop,2024-08
247,u000800,2024-06-18 19:07:07,Paid Social,3.0,/demo,tablet,2024-06
248,u001387,2024-03-01 18:28:11,Organic,,/blog,mobile,2024-03
249,u000101,2024-08-29 21:00:45,Video,5.0,/case-studies,desktop,2024-08
250,u001050,2024-10-09 00:31:34,Direct,,/case-studies,mobile,2024-10
251,u001286,2024-07-26 10:05:17,Paid Social,4.0,/pricing,tablet,2024-07
252,u000746,2024-11-03 07:08:49,Organic,,/case-studies,mobile,2024-11
253,u000096,2024-09-26 13:31:13,Video,5.0,/case-studies,desktop,2024-09
254,u001246,2024-03-19 09:06:06,Paid Social,4.0,/blog,mobile,2024-03
255,u001578,2024-06-08 18:50:26,Search,1.0,/blog,tablet,2024-06
256,u000411,2024-07-16 09:25:31,Video,5.0,/,mobile,2024-07
257,u000439,2024-04-24 02:40:10,Direct,,/pricing,desktop,2024-04
258,u000027,2024-02-18 12:33:39,Search,1.0,/case-studies,desktop,2024-02
259,u000510,2024-02-12 09:50:59,Direct,,/case-studies,desktop,2024-02
260,u001083,2024-08-13 17:57:32,Paid Social,4.0,/pricing,desktop,2024-08
261,u001436,2024-08-01 16:35:07,Organic,,/product,mobile,2024-08
262,u001417,2024-01-02 01:08:46,Direct,,/demo,desktop,2024-01
263,u000294,2024-09-11 23:29:06,Paid Social,4.0,/demo,tablet,2024-09
264,u000299,2024-10-27 22:08:14,Direct,,/demo,tablet,2024-10
265,u001537,2024-12-18 01:58:40,Direct,,/case-studies,tablet,2024-12
266,u001506,2024-02-06 15:14:27,Paid Social,3.0,/,mobile,2024-02
267,u001473,2024-02-02 19:56:59,Search,2.0,/demo,tablet,2024-02
268,u000778,2024-08-22 20:18:45,Organic,,/pricing,tablet,2024-08
269,u000810,2024-08-29 12:21:58,Organic,,/,tablet,2024-08
270,u001184,2024-04-19 09:23:52,Direct,,/demo,desktop,2024-04
271,u000434,2024-06-10 17:15:29,Video,5.0,/,mobile,2024-06
272,u000431,2024-01-31 21:52:51,Paid Social,4.0,/pricing,desktop,2024-01
273,u001334,2024-05-07 08:07:14,Search,1.0,/pricing,tablet,2024-05
274,u000882,2024-11-14 21:55:12,Search,2.0,/case-studies,desktop,2024-11
275,u001577,2024-04-11 19:52:29,Direct,,/pricing,tablet,2024-04
276,u000792,2024-05-30 11:59:40,Paid Social,3.0,/pricing,tablet,2024-05
277,u000009,2024-09-21 11:05:15,Direct,,/,mobile,2024-09
278,u000931,2024-12-27 04:32:20,Organic,,/,desktop,2024-12
279,u000100,2024-08-19 17:26:46,Direct,,/,tablet,2024-08
280,u000672,2024-11-04 21:18:32,Organic,,/,mobile,2024-11
281,u001046,2024-10-16 17:20:57,Paid Social,4.0,/case-studies,desktop,2024-10
282,u001787,2024-04-01 11:15:39,Direct,,/case-studies,desktop,2024-04
283,u000847,2024-09-13 16:13:10,Direct,,/blog,tablet,2024-09
284,u001135,2024-09-04 00:41:54,Search,1.0,/demo,desktop,2024-09
285,u000012,2024-07-15 12:18:16,Video,5.0,/demo,desktop,2024-07
286,u001281,2024-09-11 11:14:07,Direct,,/demo,tablet,2024-09
287,u000544,2024-03-14 16:44:40,Search,2.0,/pricing,tablet,2024-03
288,u000707,2024-05-18 22:52:17,Paid Social,4.0,/pricing,tablet,2024-05
289,u000330,2024-07-04 06:07:10,Direct,,/,desktop,2024-07
290,u001627,2024-03-29 23:40:27,Organic,,/pricing,mobile,2024-03
291,u000698,2024-08-10 03:10:56,Organic,,/,mobile,2024-08
292,u001617,2024-11-05 15:25:32,Direct,,/demo,tablet,2024-11
293,u000437,2024-10-14 21:23:25,Affiliate,6.0,/,mobile,2024-10
294,u000356,2024-02-27 17:31:01,Paid Social,4.0,/product,tablet,2024-02
295,u001135,2024-08-27 00:41:02,Organic,,/pricing,mobile,2024-08
296,u001735,2024-02-17 20:06:02,Search,2.0,/product,tablet,2024-02
297,u000346,2024-01-10 00:55:45,Organic,,/product,mobile,2024-01
298,u000200,2024-08-13 04:16:29,Organic,,/pricing,tablet,2024-08
299,u000632,2024-04-23 06:29:03,Organic,,/blog,desktop,2024-04
300,u000669,2024-02-09 23:11:09,Direct,,/pricing,tablet,2024-02
301,u000812,2024-09-16 03:30:45,Direct,,/blog,desktop,2024-09
302,u001528,2024-03-27 17:55:19,Search,1.0,/pricing,desktop,2024-03
303,u000658,2024-01-27 09:37:08,Direct,,/pricing,desktop,2024-01
304,u001683,2024-11-20 16:41:02,Organic,,/blog,mobile,2024-11
305,u000172,2024-05-27 13:04:52,Search,2.0,/blog,tablet,2024-05
306,u001419,2024-08-07 07:57:49,Organic,,/pricing,mobile,2024-08
307,u001474,2024-07-14 22:15:13,Search,2.0,/,desktop,2024-07
308,u000998,2024-07-28 23:24:46,Organic,,/,tablet,2024-07
309,u001138,2024-06-22 08:46:57,Search,2.0,/pricing,tablet,2024-06
310,u000247,2024-09-01 00:44:07,Organic,,/product,mobile,2024-09
311,u001480,2024-11-20 12:25:54,Direct,,/,desktop,2024-11
312,u001068,2024-07-30 01:12:53,Paid Social,3.0,/case-studies,tablet,2024-07
313,u000004,2024-05-13 18:57:02,Organic,,/case-studies,mobile,2024-05
314,u001785,2024-09-20 05:44:05,Paid Social,4.0,/,tablet,2024-09
315,u000835,2024-06-04 18:47:30,Direct,,/demo,tablet,2024-06
316,u001769,2024-06-22 22:04:15,Paid Social,4.0,/blog,desktop,2024-06
317,u001536,2024-01-08 20:48:41,Organic,,/demo,mobile,2024-01
318,u001159,2024-11-06 23:06:04,Search,2.0,/case-studies,mobile,2024-11
319,u000619,2024-04-26 16:28:35,Direct,,/,mobile,2024-04
320,u000327,2024-10-15 20:59:04,Organic,,/blog,tablet,2024-10
321,u000643,2024-02-01 00:02:36,Paid Social,4.0,/demo,desktop,2024-02
322,u001101,2024-10-06 00:01:49,Organic,,/case-studies,mobile,2024-10
323,u000755,2024-09-09 14:36:26,Paid Social,3.0,/,tablet,2024-09
324,u000415,2024-05-09 06:11:17,Affiliate,6.0,/blog,desktop,2024-05
325,u000968,2024-10-10 23:50:42,Organic,,/demo,tablet,2024-10
326,u001714,2024-08-05 08:20:46,Direct,,/pricing,tablet,2024-08
327,u001130,2024-04-01 17:20:49,Paid Social,4.0,/demo,mobile,2024-04
328,u001405,2024-08-20 05:46:53,Direct,,/product,desktop,2024-08
329,u000649,2024-05-01 07:51:41,Organic,,/product,tablet,2024-05
330,u001527,2024-06-11 07:39:31,Search,2.0,/product,desktop,2024-06
331,u001542,2024-09-04 01:52:51,Search,1.0,/case-studies,desktop,2024-09
332,u000417,2024-03-17 09:50:34,Direct,,/case-studies,mobile,2024-03
333,u001108,2024-12-21 05:35:56,Video,5.0,/,tablet,2024-12
334,u000380,2024-10-15 22:03:49,Affiliate,6.0,/blog,desktop,2024-10
335,u001223,2024-03-23 16:50:24,Search,2.0,/pricing,tablet,2024-03
336,u000527,2024-08-20 15:15:15,Search,1.0,/product,tablet,2024-08
337,u001659,2024-03-23 11:00:15,Organic,,/case-studies,mobile,2024-03
338,u001737,2024-01-14 20:49:06,Direct,,/demo,tablet,2024-01
339,u000129,2024-04-07 14:24:19,Direct,,/pricing,tablet,2024-04
340,u000349,2024-09-23 21:44:20,Organic,,/case-studies,mobile,2024-09
341,u001046,2024-03-07 08:44:19,Search,1.0,/case-studies,desktop,2024-03
342,u001431,2024-02-16 10:23:31,Search,2.0,/case-studies,tablet,2024-02
343,u000813,2024-03-31 10:36:58,Direct,,/demo,tablet,2024-03
344,u001419,2024-05-25 17:17:50,Video,5.0,/blog,mobile,2024-05
345,u000032,2024-10-07 03:31:45,Direct,,/case-studies,desktop,2024-10
346,u000772,2024-11-26 13:42:56,Search,2.0,/pricing,tablet,2024-11
347,u001346,2024-03-19 16:34:20,Organic,,/demo,tablet,2024-03
348,u001290,2024-03-24 15:18:49,Search,2.0,/blog,desktop,2024-03
349,u001202,2024-07-17 01:55:17,Direct,,/case-studies,mobile,2024-07
350,u000123,2024-08-18 08:12:29,Search,2.0,/demo,desktop,2024-08
351,u000699,2024-11-23 00:37:53,Direct,,/product,desktop,2024-11
352,u001052,2024-01-07 17:57:21,Organic,,/,desktop,2024-01
353,u001391,2024-12-07 06:55:00,Search,1.0,/pricing,mobile,2024-12
354,u000212,2024-06-07 08:44:50,Affiliate,6.0,/case-studies,mobile,2024-06
355,u000351,2024-09-12 20:30:13,Organic,,/product,mobile,2024-09
356,u000646,2024-06-18 10:36:55,Affiliate,6.0,/,mobile,2024-06
357,u001737,2024-10-30 06:57:20,Direct,,/case-studies,desktop,2024-10
358,u001693,2024-01-11 05:01:04,Direct,,/product,tablet,2024-01
359,u000374,2024-09-11 11:25:56,Affiliate,6.0,/blog,desktop,2024-09
360,u001681,2024-04-05 19:08:15,Direct,,/demo,desktop,2024-04
