conversion_id,user_id,conversion_ts,revenue,attributed_channel,attributed_campaign_id,model
1281,u000055,2024-05-05 05:00:00,95.37,Affiliate,6.0,last_touch_30d
1280,u000055,2024-07-16 00:00:00,22.82,Unattributed,,last_touch_30d
627,u000056,2024-03-04 18:00:00,93.49,Organic,,last_touch_30d
444,u000057,2024-07-06 16:00:00,129.09,Unattributed,,last_touch_30d
1630,u000058,2024-08-25 08:00:00,56.78,Organic,,last_touch_30d
519,u000059,2024-04-17 12:00:00,101.3,Unattributed,,last_touch_30d
177,u000060,2024-11-22 01:00:00,79.01,Search,2.0,last_touch_30d
178,u000060,2024-12-07 06:00:00,41.64,Unattributed,,last_touch_30d
1699,u000062,2024-04-06 05:00:00,91.08,Unattributed,,last_touch_30d
1209,u000063,2024-05-24 02:00:00,95.85,Unattributed,,last_touch_30d
736,u000064,2024-10-14 10:00:00,46.8,Unattributed,,last_touch_30d
712,u000065,2024-05-04 06:00:00,97.89,Unattributed,,last_touch_30d
713,u000065,2024-10-06 15:00:00,165.59,Unattributed,,last_touch_30d
813,u000066,2024-06-17 02:00:00,86.92,Organic,,last_touch_30d
1393,u000067,2024-05-15 23:00:00,40.46,Organic,,last_touch_30d
912,u000068,2024-05-28 16:00:00,51.56,Unattributed,,last_touch_30d
965,u000070,2024-05-30 20:00:00,114.46,Organic,,last_touch_30d
2,u000072,2024-05-25 06:00:00,74.47,Unattributed,,last_touch_30d
1,u000072,2024-08-02 09:00:00,70.97,Unattributed,,last_touch_30d
89,u000076,2024-04-04 10:00:00,97.12,Organic,,last_touch_30d
432,u000077,2024-01-21 00:00:00,123.85,Unattributed,,last_touch_30d
938,u000078,2024-02-21 08:00:00,126.49,Unattributed,,last_touch_30d
46,u000079,2024-03-10 18:00:00,70.32,Unattributed,,last_touch_30d
1572,u000080,2024-01-28 19:00:00,69.42,Paid Social,4.0,last_touch_30d
1003,u000081,2024-12-09 09:00:00,97.21,Unattributed,,last_touch_30d
472,u000082,2024-04-15 05:00:00,128.85,Paid Social,3.0,last_touch_30d
130,u000085,2024-03-16 23:00:00,51.81,Unattributed,,last_touch_30d
131,u000085,2024-05-11 08:00:00,44.25,Unattributed,,last_touch_30d
717,u000086,2024-03-24 19:00:00,40.22,Paid Social,4.0,last_touch_30d
229,u000088,2024-03-04 01:00:00,56.06,Search,1.0,last_touch_30d
1178,u000089,2024-04-18 17:00:00,60.5,Affiliate,6.0,last_touch_30d
1526,u000090,2024-12-12 21:00:00,98.15,Unattributed,,last_touch_30d
1520,u000091,2024-08-22 13:00:00,77.9,Search,2.0,last_touch_30d
259,u000092,2024-03-17 17:00:00,34.5,Unattributed,,last_touch_30d
258,u000092,2024-06-09 23:00:00,64.09,Direct,,last_touch_30d
963,u000093,2024-04-01 23:00:00,101.52,Paid Social,4.0,last_touch_30d
1024,u000095,2024-04-07 10:00:00,105.05,Unattributed,,last_touch_30d
190,u000097,2024-03-06 08:00:00,59.99,Unattributed,,last_touch_30d
191,u000097,2024-07-30 12:00:00,74.8,Unattributed,,last_touch_30d
1086,u000098,2024-04-08 06:00:00,93.38,Unattributed,,last_touch_30d
1087,u000098,2024-08-14 08:00:00,74.91,Unattributed,,last_touch_30d
1557,u000099,2024-01-14 05:00:00,36.89,Unattributed,,last_touch_30d
158,u000100,2024-05-17 00:00:00,91.24,Unattributed,,last_touch_30d
256,u000101,2024-08-02 21:00:00,102.46,Unattributed,,last_touch_30d
1467,u000102,2024-11-29 10:00:00,74.31,Unattributed,,last_touch_30d
1432,u000105,2024-05-03 04:00:00,62.09,Organic,,last_touch_30d
631,u000107,2024-11-11 02:00:00,48.44,Unattributed,,last_touch_30d
1133,u000108,2024-01-02 06:00:00,59.71,Unattributed,,last_touch_30d
1132,u000108,2024-02-28 20:00:00,71.98,Unattributed,,last_touch_30d
1371,u000109,2024-12-23 07:00:00,104.89,Direct,,last_touch_30d
565,u000110,2024-04-29 01:00:00,46.09,Affiliate,6.0,last_touch_30d
1546,u000111,2024-10-27 06:00:00,48.0,Unattributed,,last_touch_30d
752,u000112,2024-01-29 05:00:00,48.98,Unattributed,,last_touch_30d
751,u000112,2024-05-13 11:00:00,55.93,Search,2.0,last_touch_30d
1047,u000113,2024-10-09 20:00:00,41.94,Unattributed,,last_touch_30d
1625,u000115,2024-06-27 12:00:00,55.61,Unattributed,,last_touch_30d
1296,u000116,2024-01-12 00:00:00,38.72,Unattributed,,last_touch_30d
1634,u000117,2024-01-21 13:00:00,65.77,Organic,,last_touch_30d
1635,u000117,2024-12-01 09:00:00,80.26,Unattributed,,last_touch_30d
344,u000118,2024-08-05 15:00:00,43.51,Unattributed,,last_touch_30d
710,u000121,2024-04-13 14:00:00,68.09,Organic,,last_touch_30d
711,u000121,2024-12-09 10:00:00,102.13,Unattributed,,last_touch_30d
1059,u000122,2024-03-18 20:00:00,53.03,Unattributed,,last_touch_30d
1058,u000122,2024-09-21 21:00:00,55.4,Direct,,last_touch_30d
150,u000123,2024-01-28 10:00:00,57.46,Organic,,last_touch_30d
1094,u000124,2024-04-20 06:00:00,97.38,Unattributed,,last_touch_30d
1095,u000124,2024-04-25 08:00:00,82.52,Paid Social,3.0,last_touch_30d
1619,u000125,2024-05-19 04:00:00,64.85,Search,2.0,last_touch_30d
643,u000126,2024-07-28 12:00:00,55.57,Unattributed,,last_touch_30d
92,u000127,2024-03-22 12:00:00,129.98,Paid Social,3.0,last_touch_30d
1391,u000130,2024-09-14 02:00:00,50.4,Unattributed,,last_touch_30d
812,u000131,2024-09-20 17:00:00,82.13,Organic,,last_touch_30d
1475,u000132,2024-02-14 18:00:00,56.5,Unattributed,,last_touch_30d
1474,u000132,2024-05-21 20:00:00,61.31,Unattributed,,last_touch_30d
1586,u000133,2024-11-12 19:00:00,107.06,Unattributed,,last_touch_30d
1318,u000134,2024-04-09 01:00:00,40.11,Organic,,last_touch_30d
1319,u000134,2024-04-11 13:00:00,52.32,Organic,,last_touch_30d
333,u000135,2024-01-23 02:00:00,57.95,Direct,,last_touch_30d
328,u000137,2024-08-19 19:00:00,57.63,Direct,,last_touch_30d
146,u000139,2024-06-22 22:00:00,108.56,Unattributed,,last_touch_30d
147,u000139,2024-12-05 03:00:00,68.22,Organic,,last_touch_30d
1219,u000140,2024-11-21 04:00:00,49.66,Paid Social,3.0,last_touch_30d
401,u000141,2024-08-31 17:00:00,52.92,Unattributed,,last_touch_30d
1650,u000142,2024-05-05 08:00:00,37.2,Video,5.0,last_touch_30d
1321,u000143,2024-02-24 04:00:00,126.95,Unattributed,,last_touch_30d
1629,u000144,2024-07-31 16:00:00,58.67,Organic,,last_touch_30d
549,u000146,2024-04-07 17:00:00,29.93,Unattributed,,last_touch_30d
548,u000146,2024-08-08 21:00:00,49.89,Unattributed,,last_touch_30d
116,u000147,2024-03-02 01:00:00,61.94,Unattributed,,last_touch_30d
612,u000148,2024-06-15 19:00:00,44.95,Affiliate,6.0,last_touch_30d
613,u000148,2024-12-25 20:00:00,58.4,Paid Social,3.0,last_touch_30d
700,u000150,2024-03-01 19:00:00,94.54,Unattributed,,last_touch_30d
732,u000151,2024-08-21 10:00:00,63.85,Unattributed,,last_touch_30d
181,u000152,2024-02-14 12:00:00,44.92,Paid Social,4.0,last_touch_30d
721,u000153,2024-02-25 14:00:00,89.57,Unattributed,,last_touch_30d
799,u000154,2024-01-18 16:00:00,76.84,Unattributed,,last_touch_30d
289,u000156,2024-05-24 14:00:00,81.97,Unattributed,,last_touch_30d
528,u000157,2024-07-18 03:00:00,71.36,Unattributed,,last_touch_30d
797,u000158,2024-01-12 09:00:00,69.08,Unattributed,,last_touch_30d
796,u000158,2024-05-14 14:00:00,42.39,Unattributed,,last_touch_30d
879,u000160,2024-02-24 23:00:00,81.37,Unattributed,,last_touch_30d
878,u000160,2024-05-18 05:00:00,84.53,Unattributed,,last_touch_30d
1208,u000162,2024-09-30 03:00:00,52.2,Paid Social,3.0,last_touch_30d
53,u000163,2024-02-22 22:00:00,87.35,Unattributed,,last_touch_30d
888,u000164,2024-06-17 12:00:00,127.05,Search,1.0,last_touch_30d
891,u000165,2024-07-19 21:00:00,42.84,Unattributed,,last_touch_30d
793,u000166,2024-08-22 04:00:00,63.85,Organic,,last_touch_30d
462,u000167,2024-07-25 12:00:00,58.43,Organic,,last_touch_30d
744,u000168,2024-08-27 01:00:00,80.75,Unattributed,,last_touch_30d
1449,u000170,2024-05-05 21:00:00,88.83,Paid Social,3.0,last_touch_30d
351,u000171,2024-11-03 01:00:00,47.81,Organic,,last_touch_30d
1666,u000172,2024-04-18 18:00:00,42.41,Direct,,last_touch_30d
1667,u000172,2024-10-17 13:00:00,112.58,Unattributed,,last_touch_30d
615,u000174,2024-01-13 06:00:00,78.73,Unattributed,,last_touch_30d
614,u000174,2024-12-16 22:00:00,34.7,Unattributed,,last_touch_30d
889,u000175,2024-01-04 00:00:00,68.24,Unattributed,,last_touch_30d
557,u000177,2024-10-15 14:00:00,142.37,Video,5.0,last_touch_30d
1247,u000178,2024-01-13 04:00:00,46.22,Organic,,last_touch_30d
1248,u000178,2024-10-28 13:00:00,90.96,Unattributed,,last_touch_30d
830,u000179,2024-11-13 18:00:00,56.29,Search,2.0,last_touch_30d
645,u000180,2024-11-04 17:00:00,66.88,Unattributed,,last_touch_30d
155,u000181,2024-11-04 12:00:00,88.11,Search,2.0,last_touch_30d
1374,u000182,2024-10-03 19:00:00,137.35,Organic,,last_touch_30d
1633,u000183,2024-01-14 12:00:00,55.12,Unattributed,,last_touch_30d
1632,u000183,2024-01-29 06:00:00,79.22,Unattributed,,last_touch_30d
973,u000184,2024-12-03 16:00:00,41.15,Unattributed,,last_touch_30d
1279,u000185,2024-12-08 04:00:00,77.93,Unattributed,,last_touch_30d
1470,u000188,2024-02-27 19:00:00,83.31,Unattributed,,last_touch_30d
137,u000189,2024-02-03 17:00:00,92.06,Unattributed,,last_touch_30d
133,u000190,2024-11-20 06:00:00,55.5,Direct,,last_touch_30d
714,u000191,2024-04-14 14:00:00,69.28,Paid Social,4.0,last_touch_30d
715,u000191,2024-07-13 12:00:00,62.85,Affiliate,6.0,last_touch_30d
285,u000192,2024-09-01 04:00:00,123.31,Unattributed,,last_touch_30d
85,u000193,2024-03-28 02:00:00,56.59,Unattributed,,last_touch_30d
1203,u000194,2024-10-26 14:00:00,49.07,Organic,,last_touch_30d
1313,u000197,2024-07-22 13:00:00,52.4,Unattributed,,last_touch_30d
719,u000198,2024-08-10 21:00:00,55.91,Direct,,last_touch_30d
1044,u000199,2024-03-17 15:00:00,38.87,Video,5.0,last_touch_30d
1324,u000200,2024-06-13 07:00:00,32.4,Unattributed,,last_touch_30d
544,u000201,2024-06-11 17:00:00,56.85,Unattributed,,last_touch_30d
166,u000202,2024-01-04 01:00:00,56.04,Unattributed,,last_touch_30d
653,u000204,2024-07-17 07:00:00,39.37,Unattributed,,last_touch_30d
727,u000205,2024-05-29 02:00:00,49.01,Unattributed,,last_touch_30d
1116,u000206,2024-01-19 00:00:00,53.82,Unattributed,,last_touch_30d
639,u000207,2024-07-02 07:00:00,103.02,Unattributed,,last_touch_30d
1340,u000209,2024-07-24 19:00:00,105.71,Search,1.0,last_touch_30d
1339,u000209,2024-12-07 15:00:00,122.07,Organic,,last_touch_30d
1006,u000212,2024-07-15 10:00:00,42.22,Organic,,last_touch_30d
1233,u000213,2024-06-16 10:00:00,40.78,Unattributed,,last_touch_30d
99,u000214,2024-06-13 08:00:00,78.01,Organic,,last_touch_30d
98,u000214,2024-10-26 16:00:00,38.43,Affiliate,6.0,last_touch_30d
226,u000215,2024-03-15 23:00:00,33.63,Search,1.0,last_touch_30d
225,u000215,2024-07-31 14:00:00,62.66,Unattributed,,last_touch_30d
1195,u000216,2024-12-11 02:00:00,90.54,Unattributed,,last_touch_30d
1115,u000217,2024-05-02 18:00:00,77.05,Unattributed,,last_touch_30d
1114,u000217,2024-09-16 01:00:00,89.22,Direct,,last_touch_30d
1686,u000220,2024-03-25 14:00:00,74.43,Unattributed,,last_touch_30d
1685,u000220,2024-12-20 23:00:00,70.92,Affiliate,6.0,last_touch_30d
419,u000222,2024-05-10 01:00:00,82.73,Organic,,last_touch_30d
1648,u000223,2024-12-02 15:00:00,52.96,Organic,,last_touch_30d
532,u000224,2024-07-30 13:00:00,110.93,Search,2.0,last_touch_30d
1450,u000225,2024-08-16 13:00:00,65.48,Search,2.0,last_touch_30d
1552,u000227,2024-02-01 02:00:00,74.34,Unattributed,,last_touch_30d
199,u000229,2024-01-08 22:00:00,63.0,Unattributed,,last_touch_30d
290,u000230,2024-10-29 19:00:00,34.86,Video,5.0,last_touch_30d
1245,u000231,2024-03-01 02:00:00,75.68,Organic,,last_touch_30d
1246,u000231,2024-11-11 07:00:00,48.32,Unattributed,,last_touch_30d
114,u000232,2024-10-20 09:00:00,49.19,Paid Social,4.0,last_touch_30d
659,u000235,2024-03-17 23:00:00,107.08,Unattributed,,last_touch_30d
658,u000235,2024-12-17 23:00:00,71.82,Unattributed,,last_touch_30d
409,u000236,2024-12-17 05:00:00,47.2,Unattributed,,last_touch_30d
447,u000237,2024-01-07 15:00:00,98.88,Unattributed,,last_touch_30d
459,u000238,2024-10-16 20:00:00,58.2,Unattributed,,last_touch_30d
336,u000239,2024-10-27 10:00:00,77.03,Unattributed,,last_touch_30d
1259,u000242,2024-02-14 10:00:00,141.7,Unattributed,,last_touch_30d
1065,u000243,2024-07-05 02:00:00,47.57,Direct,,last_touch_30d
309,u000244,2024-05-08 19:00:00,49.56,Unattributed,,last_touch_30d
1612,u000246,2024-08-19 05:00:00,70.21,Unattributed,,last_touch_30d
1506,u000247,2024-10-07 18:00:00,49.51,Search,2.0,last_touch_30d
716,u000248,2024-05-12 11:00:00,147.51,Unattributed,,last_touch_30d
857,u000249,2024-05-05 11:00:00,79.16,Unattributed,,last_touch_30d
856,u000249,2024-07-17 18:00:00,49.07,Search,2.0,last_touch_30d
1332,u000250,2024-02-15 23:00:00,54.3,Organic,,last_touch_30d
1333,u000250,2024-07-22 17:00:00,109.03,Direct,,last_touch_30d
470,u000251,2024-09-09 23:00:00,68.65,Paid Social,4.0,last_touch_30d
669,u000252,2024-12-21 07:00:00,51.61,Paid Social,4.0,last_touch_30d
479,u000253,2024-06-29 18:00:00,79.56,Unattributed,,last_touch_30d
1189,u000254,2024-01-01 02:00:00,26.35,Unattributed,,last_touch_30d
1584,u000255,2024-04-19 14:00:00,77.79,Direct,,last_touch_30d
1676,u000256,2024-04-13 03:00:00,93.99,Organic,,last_touch_30d
1677,u000256,2024-11-20 14:00:00,36.49,Search,2.0,last_touch_30d
1408,u000258,2024-04-11 23:00:00,64.12,Unattributed,,last_touch_30d
835,u000259,2024-12-28 14:00:00,83.73,Search,2.0,last_touch_30d
655,u000260,2024-10-30 07:00:00,116.26,Search,2.0,last_touch_30d
1124,u000262,2024-12-06 13:00:00,74.38,Unattributed,,last_touch_30d
1482,u000263,2024-01-25 00:00:00,86.11,Video,5.0,last_touch_30d
1483,u000263,2024-10-14 05:00:00,55.34,Unattributed,,last_touch_30d
1700,u000265,2024-10-17 23:00:00,45.95,Video,5.0,last_touch_30d
1495,u000267,2024-12-10 17:00:00,36.44,Unattributed,,last_touch_30d
358,u000269,2024-01-05 04:00:00,58.95,Unattributed,,last_touch_30d
450,u000271,2024-01-22 02:00:00,31.09,Unattributed,,last_touch_30d
1507,u000273,2024-11-30 09:00:00,71.87,Unattributed,,last_touch_30d
1516,u000274,2024-09-12 06:00:00,222.64,Paid Social,4.0,last_touch_30d
948,u000275,2024-07-22 05:00:00,106.39,Organic,,last_touch_30d
947,u000275,2024-08-12 10:00:00,56.49,Organic,,last_touch_30d
1687,u000276,2024-07-11 01:00:00,64.04,Unattributed,,last_touch_30d
880,u000278,2024-11-26 20:00:00,69.55,Organic,,last_touch_30d
44,u000279,2024-04-11 09:00:00,23.9,Unattributed,,last_touch_30d
45,u000279,2024-06-21 21:00:00,39.95,Unattributed,,last_touch_30d
25,u000280,2024-04-08 20:00:00,89.77,Unattributed,,last_touch_30d
1093,u000282,2024-07-10 05:00:00,35.99,Unattributed,,last_touch_30d
1092,u000282,2024-09-02 22:00:00,91.64,Unattributed,,last_touch_30d
1300,u000285,2024-10-14 18:00:00,98.76,Unattributed,,last_touch_30d
540,u000286,2024-05-02 12:00:00,37.24,Organic,,last_touch_30d
435,u000288,2024-04-15 01:00:00,55.69,Unattributed,,last_touch_30d
286,u000289,2024-06-08 21:00:00,55.57,Unattributed,,last_touch_30d
443,u000293,2024-10-27 20:00:00,65.76,Direct,,last_touch_30d
1640,u000294,2024-04-02 02:00:00,52.76,Unattributed,,last_touch_30d
1639,u000294,2024-05-21 23:00:00,93.44,Search,2.0,last_touch_30d
1418,u000295,2024-06-10 16:00:00,46.57,Unattributed,,last_touch_30d
1642,u000297,2024-10-25 15:00:00,59.4,Unattributed,,last_touch_30d
1680,u000298,2024-01-01 07:00:00,110.74,Unattributed,,last_touch_30d
1257,u000299,2024-07-19 20:00:00,151.7,Affiliate,6.0,last_touch_30d
1150,u000300,2024-05-15 23:00:00,70.14,Video,5.0,last_touch_30d
1149,u000300,2024-12-01 05:00:00,123.08,Unattributed,,last_touch_30d
568,u000301,2024-04-02 18:00:00,78.79,Unattributed,,last_touch_30d
883,u000302,2024-07-26 12:00:00,51.43,Unattributed,,last_touch_30d
788,u000303,2024-07-18 14:00:00,91.53,Organic,,last_touch_30d
1252,u000304,2024-05-17 11:00:00,24.02,Unattributed,,last_touch_30d
1253,u000304,2024-11-07 12:00:00,93.89,Search,1.0,last_touch_30d
762,u000305,2024-09-30 07:00:00,30.78,Unattributed,,last_touch_30d
1655,u000306,2024-06-24 02:00:00,93.37,Unattributed,,last_touch_30d
138,u000307,2024-07-03 00:00:00,82.93,Video,5.0,last_touch_30d
1647,u000308,2024-12-03 00:00:00,51.76,Direct,,last_touch_30d
1649,u000310,2024-07-23 22:00:00,50.63,Unattributed,,last_touch_30d
754,u000311,2024-10-18 22:00:00,73.26,Unattributed,,last_touch_30d
1636,u000314,2024-01-09 16:00:00,89.96,Unattributed,,last_touch_30d
1637,u000314,2024-10-04 02:00:00,92.79,Unattributed,,last_touch_30d
696,u000315,2024-10-03 17:00:00,63.23,Unattributed,,last_touch_30d
343,u000316,2024-03-01 12:00:00,51.76,Unattributed,,last_touch_30d
279,u000317,2024-05-25 10:00:00,73.98,Unattributed,,last_touch_30d
636,u000318,2024-04-25 02:00:00,99.81,Unattributed,,last_touch_30d
770,u000319,2024-11-23 13:00:00,140.73,Unattributed,,last_touch_30d
781,u000320,2024-03-16 06:00:00,51.2,Unattributed,,last_touch_30d
780,u000320,2024-09-30 10:00:00,49.84,Direct,,last_touch_30d
405,u000322,2024-09-29 09:00:00,71.45,Unattributed,,last_touch_30d
1168,u000323,2024-09-10 16:00:00,81.06,Unattributed,,last_touch_30d
326,u000325,2024-04-24 05:00:00,71.54,Paid Social,4.0,last_touch_30d
208,u000326,2024-02-19 08:00:00,51.89,Unattributed,,last_touch_30d
209,u000326,2024-04-02 16:00:00,110.56,Unattributed,,last_touch_30d
1157,u000327,2024-09-01 09:00:00,222.43,Organic,,last_touch_30d
1214,u000328,2024-09-16 17:00:00,99.77,Unattributed,,last_touch_30d
452,u000330,2024-06-04 15:00:00,70.68,Unattributed,,last_touch_30d
451,u000330,2024-08-11 11:00:00,76.72,Unattributed,,last_touch_30d
642,u000331,2024-02-20 23:00:00,129.82,Unattributed,,last_touch_30d
662,u000333,2024-09-17 00:00:00,34.06,Unattributed,,last_touch_30d
663,u000333,2024-11-12 04:00:00,73.81,Unattributed,,last_touch_30d
1671,u000334,2024-10-21 13:00:00,89.47,Paid Social,3.0,last_touch_30d
893,u000335,2024-03-29 06:00:00,43.7,Unattributed,,last_touch_30d
236,u000336,2024-10-27 13:00:00,115.1,Search,2.0,last_touch_30d
180,u000337,2024-12-15 22:00:00,160.57,Unattributed,,last_touch_30d
698,u000338,2024-11-26 12:00:00,65.53,Paid Social,3.0,last_touch_30d
1356,u000339,2024-07-15 19:00:00,93.07,Organic,,last_touch_30d
1696,u000341,2024-12-18 20:00:00,36.16,Unattributed,,last_touch_30d
1438,u000342,2024-01-01 20:00:00,32.33,Unattributed,,last_touch_30d
1437,u000342,2024-11-25 19:00:00,83.77,Unattributed,,last_touch_30d
605,u000343,2024-06-06 13:00:00,185.24,Search,1.0,last_touch_30d
606,u000343,2024-12-05 18:00:00,50.02,Organic,,last_touch_30d
828,u000345,2024-04-05 02:00:00,83.41,Unattributed,,last_touch_30d
827,u000345,2024-11-07 20:00:00,67.81,Unattributed,,last_touch_30d
1528,u000346,2024-12-14 20:00:00,43.08,Search,2.0,last_touch_30d
406,u000347,2024-04-04 13:00:00,56.75,Unattributed,,last_touch_30d
1078,u000348,2024-03-28 14:00:00,34.29,Search,1.0,last_touch_30d
427,u000349,2024-07-11 19:00:00,83.44,Unattributed,,last_touch_30d
426,u000349,2024-09-01 07:00:00,90.04,Organic,,last_touch_30d
200,u000350,2024-10-11 12:00:00,120.79,Unattributed,,last_touch_30d
1008,u000351,2024-11-21 02:00:00,107.27,Paid Social,4.0,last_touch_30d
1379,u000352,2024-02-03 01:00:00,50.92,Unattributed,,last_touch_30d
1380,u000352,2024-05-20 00:00:00,40.64,Unattributed,,last_touch_30d
1695,u000353,2024-12-26 23:00:00,54.06,Organic,,last_touch_30d
1601,u000354,2024-12-14 17:00:00,100.16,Organic,,last_touch_30d
478,u000355,2024-02-14 15:00:00,82.72,Organic,,last_touch_30d
1448,u000356,2024-04-19 22:00:00,31.35,Organic,,last_touch_30d
730,u000357,2024-04-28 23:00:00,43.21,Search,2.0,last_touch_30d
1121,u000358,2024-10-11 08:00:00,43.6,Unattributed,,last_touch_30d
1524,u000359,2024-04-04 10:00:00,116.12,Unattributed,,last_touch_30d
617,u000360,2024-12-26 19:00:00,63.97,Paid Social,3.0,last_touch_30d
1365,u000361,2024-03-20 06:00:00,50.02,Direct,,last_touch_30d
1366,u000361,2024-12-22 13:00:00,56.69,Unattributed,,last_touch_30d
566,u000362,2024-12-05 09:00:00,59.03,Unattributed,,last_touch_30d
742,u000363,2024-08-04 23:00:00,71.14,Unattributed,,last_touch_30d
743,u000363,2024-08-06 08:00:00,85.1,Unattributed,,last_touch_30d
648,u000364,2024-05-18 14:00:00,65.65,Unattributed,,last_touch_30d
649,u000364,2024-07-20 17:00:00,129.84,Paid Social,4.0,last_touch_30d
899,u000365,2024-05-16 10:00:00,71.05,Unattributed,,last_touch_30d
722,u000368,2024-08-27 01:00:00,45.93,Unattributed,,last_touch_30d
815,u000369,2024-02-15 19:00:00,78.31,Unattributed,,last_touch_30d
1272,u000370,2024-02-18 14:00:00,48.86,Direct,,last_touch_30d
1199,u000371,2024-02-15 17:00:00,91.31,Unattributed,,last_touch_30d
350,u000372,2024-10-22 03:00:00,98.75,Organic,,last_touch_30d
1144,u000373,2024-02-26 11:00:00,37.59,Organic,,last_touch_30d
1145,u000373,2024-12-06 05:00:00,51.82,Unattributed,,last_touch_30d
635,u000374,2024-09-29 03:00:00,95.18,Affiliate,6.0,last_touch_30d
1543,u000375,2024-02-18 14:00:00,41.87,Unattributed,,last_touch_30d
1542,u000375,2024-06-03 08:00:00,72.66,Video,5.0,last_touch_30d
136,u000377,2024-02-05 18:00:00,127.75,Direct,,last_touch_30d
476,u000378,2024-08-08 14:00:00,87.76,Direct,,last_touch_30d
1183,u000379,2024-06-15 05:00:00,94.52,Unattributed,,last_touch_30d
106,u000380,2024-11-16 15:00:00,38.47,Unattributed,,last_touch_30d
1224,u000382,2024-01-14 13:00:00,80.49,Unattributed,,last_touch_30d
1613,u000383,2024-06-16 10:00:00,43.34,Unattributed,,last_touch_30d
1614,u000383,2024-07-01 07:00:00,92.78,Unattributed,,last_touch_30d
1120,u000384,2024-05-21 07:00:00,88.67,Direct,,last_touch_30d
935,u000385,2024-02-13 19:00:00,103.31,Search,1.0,last_touch_30d
