session_id,user_id,session_start_ts,channel,campaign_id,landing_page,device
108,u000947,2024-07-28 23:37:19,Direct,,/,mobile
109,u001442,2024-05-22 15:47:40,Search,2.0,/pricing,tablet
110,u000687,2024-10-10 14:23:53,Search,2.0,/case-studies,tablet
111,u001396,2024-05-18 19:37:15,Organic,,/pricing,desktop
112,u000168,2024-12-26 15:04:59,Affiliate,6.0,/demo,tablet
113,u000521,2024-07-18 06:57:07,Video,5.0,/case-studies,tablet
114,u000410,2024-08-08 12:13:19,Direct,,/pricing,tablet
115,u001410,2024-04-03 00:25:00,Organic,,/demo,tablet
116,u000777,2024-05-25 05:57:35,Paid Social,3.0,/blog,desktop
117,u000823,2024-11-29 20:58:28,Direct,,/blog,desktop
118,u001264,2024-12-08 05:01:13,Direct,,/case-studies,desktop
119,u001372,2024-06-09 18:20:55,Organic,,/pricing,tablet
120,u000788,2024-10-28 23:48:18,Video,5.0,/,mobile
121,u000441,2024-08-03 20:50:49,Paid Social,3.0,/demo,tablet
122,u001787,2024-11-26 17:26:42,Direct,,/case-studies,desktop
123,u000039,2024-02-07 02:16:43,Affiliate,6.0,/product,tablet
124,u000081,2024-01-24 17:15:30,Video,5.0,/product,desktop
125,u001435,2024-12-01 22:05:01,Search,2.0,/pricing,mobile
126,u001115,2024-04-12 20:43:49,Organic,,/pricing,mobile
127,u000633,2024-05-15 20:13:02,Direct,,/pricing,desktop
128,u000759,2024-01-09 09:35:56,Direct,,/,desktop
129,u000341,2024-07-31 21:06:56,Paid Social,3.0,/product,desktop
130,u001085,2024-11-16 22:09:49,Search,1.0,/demo,mobile
131,u000855,2024-01-11 18:19:06,Search,2.0,/product,mobile
132,u000462,2024-06-08 13:07:04,Organic,,/product,tablet
133,u000958,2024-08-05 08:26:56,Search,1.0,/case-studies,tablet
134,u000150,2024-11-26 20:36:32,Organic,,/,desktop
135,u001706,2024-11-05 03:59:25,Direct,,/case-studies,tablet
136,u000386,2024-08-05 10:53:28,Direct,,/pricing,mobile
137,u001019,2024-06-23 20:35:47,Paid Social,4.0,/blog,tablet
138,u001639,2024-01-09 14:55:40,Organic,,/case-studies,desktop
139,u000313,2024-11-13 11:20:13,Direct,,/demo,mobile
140,u000724,2024-12-18 16:00:06,Search,2.0,/demo,tablet
141,u001285,2024-06-20 13:21:23,Organic,,/,mobile
142,u001369,2024-06-05 08:49:50,Video,5.0,/pricing,tablet
143,u000202,2024-02-02 09:14:04,Search,1.0,/demo,desktop
144,u000722,2024-05-20 15:19:41,Organic,,/,mobile
145,u000077,2024-11-22 09:04:15,Direct,,/product,desktop
146,u000564,2024-10-04 05:20:16,Direct,,/case-studies,tablet
147,u000819,2024-01-08 21:01:00,Direct,,/pricing,mobile
148,u000214,2024-07-11 12:03:51,Paid Social,3.0,/demo,tablet
149,u000513,2024-01-07 01:27:34,Organic,,/blog,mobile
150,u001415,2024-04-22 11:48:24,Organic,,/pricing,tablet
151,u001075,2024-03-25 12:09:05,Search,2.0,/,desktop
152,u001695,2024-09-26 12:55:47,Organic,,/pricing,mobile
153,u001030,2024-02-09 20:03:02,Search,1.0,/case-studies,desktop
154,u001243,2024-03-11 15:54:18,Organic,,/product,tablet
155,u001287,2024-02-26 23:56:56,Direct,,/case-studies,mobile
156,u000044,2024-06-21 16:27:21,Search,2.0,/blog,desktop
157,u000332,2024-02-22 05:23:05,Search,2.0,/,desktop
158,u001392,2024-08-03 08:13:40,Paid Social,3.0,/pricing,tablet
159,u001593,2024-02-15 11:17:38,Search,1.0,/demo,desktop
160,u000431,2024-11-29 04:31:34,Organic,,/blog,tablet
161,u001626,2024-05-10 11:44:32,Paid Social,4.0,/,desktop
162,u000356,2024-03-24 08:53:22,Search,2.0,/product,mobile
163,u001548,2024-09-30 19:06:35,Direct,,/blog,tablet
164,u001533,2024-07-04 19:00:09,Affiliate,6.0,/pricing,tablet
165,u001026,2024-01-16 22:44:09,Direct,,/blog,mobile
166,u000464,2024-12-25 15:53:16,Paid Social,4.0,/blog,tablet
167,u001572,2024-11-18 23:47:52,Paid Social,4.0,/,mobile
168,u000831,2024-12-21 14:35:45,Paid Social,3.0,/demo,tablet
169,u001376,2024-01-15 03:58:06,Video,5.0,/product,mobile
170,u000056,2024-08-20 05:26:34,Video,5.0,/product,mobile
171,u001363,2024-04-28 17:34:20,Video,5.0,/case-studies,mobile
172,u000436,2024-07-27 18:58:48,Organic,,/product,tablet
173,u000759,2024-01-06 10:20:35,Affiliate,6.0,/,mobile
174,u000492,2024-02-16 18:23:41,Direct,,/case-studies,desktop
175,u001257,2024-10-25 23:17:01,Direct,,/case-studies,desktop
176,u001579,2024-10-30 23:57:59,Organic,,/blog,mobile
177,u001333,2024-05-04 15:21:38,Organic,,/pricing,desktop
178,u000378,2024-07-31 18:11:10,Direct,,/blog,desktop
179,u000456,2024-08-25 09:39:11,Organic,,/blog,desktop
180,u000544,2024-09-24 18:24:20,Paid Social,3.0,/product,desktop
181,u000422,2024-06-27 08:35:33,Direct,,/,desktop
182,u001202,2024-12-22 09:04:16,Direct,,/blog,desktop
183,u001509,2024-02-11 21:59:40,Search,1.0,/case-studies,mobile
184,u000325,2024-09-12 17:01:24,Organic,,/blog,mobile
185,u000807,2024-01-17 00:02:37,Paid Social,3.0,/,tablet
186,u001775,2024-10-31 20:50:31,Search,2.0,/product,desktop
187,u000404,2024-03-30 00:08:33,Direct,,/blog,mobile
188,u001782,2024-09-03 21:36:47,Direct,,/case-studies,tablet
189,u001664,2024-07-24 19:20:55,Video,5.0,/case-studies,mobile
190,u000056,2024-02-15 08:28:31,Organic,,/demo,mobile
191,u001024,2024-04-07 13:32:20,Search,2.0,/blog,desktop
192,u000798,2024-05-08 05:12:51,Organic,,/product,tablet
193,u000918,2024-03-21 17:57:12,Paid Social,3.0,/demo,mobile
194,u000768,2024-01-01 18:37:22,Direct,,/case-studies,desktop
195,u001504,2024-03-21 11:35:42,Direct,,/blog,mobile
196,u000408,2024-02-29 10:28:09,Direct,,/product,desktop
197,u001739,2024-03-03 03:42:10,Paid Social,3.0,/case-studies,desktop
198,u000510,2024-08-09 07:00:10,Organic,,/case-studies,mobile
199,u000300,2024-06-02 20:54:23,Organic,,/demo,mobile
200,u001398,2024-01-04 03:10:17,Affiliate,6.0,/case-studies,mobile
201,u001053,2024-08-10 19:28:59,Direct,,/pricing,mobile
202,u001020,2024-02-11 21:33:46,Direct,,/case-studies,desktop
203,u000447,2024-11-27 10:17:42,Video,5.0,/case-studies,desktop
204,u001330,2024-03-22 07:59:50,Paid Social,4.0,/,mobile
205,u001727,2024-11-29 20:41:23,Organic,,/pricing,desktop
206,u000119,2024-05-05 23:34:52,Paid Social,4.0,/case-studies,desktop
207,u000124,2024-02-08 04:17:55,Search,1.0,/product,tablet
208,u001047,2024-08-17 07:19:18,Organic,,/,tablet
209,u000477,2024-09-22 04:15:23,Direct,,/product,tablet
210,u000909,2024-04-11 23:25:21,Organic,,/blog,tablet
211,u001101,2024-05-03 21:53:31,Search,2.0,/blog,tablet
212,u000044,2024-11-19 17:38:00,Paid Social,4.0,/pricing,desktop
213,u000823,2024-06-18 06:44:28,Direct,,/blog,tablet
214,u001327,2024-01-05 14:53:11,Organic,,/blog,tablet
215,u001053,2024-04-08 15:01:13,Organic,,/product,mobile
216,u000900,2024-03-03 12:12:46,Organic,,/pricing,mobile
217,u001746,2024-08-17 12:52:22,Direct,,/case-studies,desktop
218,u001728,2024-07-22 01:52:03,Search,1.0,/product,tablet
219,u001535,2024-01-29 10:48:39,Video,5.0,/demo,desktop
220,u000317,2024-09-30 02:07:08,Paid Social,3.0,/,desktop
221,u000670,2024-06-30 16:23:17,Paid Social,4.0,/demo,mobile
222,u000099,2024-08-28 06:15:48,Organic,,/blog,mobile
223,u000414,2024-02-28 19:38:35,Direct,,/pricing,mobile
224,u001279,2024-01-06 09:13:24,Direct,,/pricing,mobile
225,u000453,2024-11-21 13:50:11,Video,5.0,/pricing,tablet
226,u001318,2024-05-17 07:40:58,Search,1.0,/case-studies,desktop
227,u000251,2024-01-01 13:19:29,Video,5.0,/pricing,tablet
228,u001433,2024-11-22 18:15:25,Search,1.0,/product,mobile
229,u000175,2024-03-25 13:02:11,Direct,,/pricing,mobile
230,u001228,2024-02-18 11:06:53,Video,5.0,/pricing,mobile
231,u000885,2024-08-02 22:37:18,Direct,,/product,tablet
232,u001431,2024-05-24 19:14:19,Organic,,/case-studies,mobile
233,u000819,2024-09-13 08:01:32,Direct,,/demo,desktop
234,u001652,2024-06-05 00:14:44,Video,5.0,/blog,mobile
235,u001182,2024-05-13 14:21:45,Direct,,/blog,mobile
236,u000828,2024-04-05 20:47:27,Organic,,/product,desktop
237,u000374,2024-03-04 04:42:53,Video,5.0,/case-studies,mobile
238,u001596,2024-02-22 02:23:33,Organic,,/demo,desktop
239,u001474,2024-08-23 21:40:34,Organic,,/demo,tablet
240,u001690,2024-05-07 18:19:11,Organic,,/pricing,desktop
241,u000699,2024-05-19 02:29:26,Direct,,/demo,tablet
242,u001006,2024-06-11 12:59:43,Direct,,/case-studies,desktop
243,u000798,2024-10-22 13:41:28,Paid Social,4.0,/,mobile
244,u000589,2024-12-04 02:01:11,Direct,,/product,mobile
245,u000997,2024-11-16 20:32:14,Organic,,/demo,mobile
246,u001544,2024-08-04 21:56:51,Paid Social,3.0,/demo,desktop
247,u000800,2024-06-18 19:07:07,Paid Social,3.0,/demo,tablet
248,u001387,2024-03-01 18:28:11,Organic,,/blog,mobile
249,u000101,2024-08-29 21:00:45,Video,5.0,/case-studies,desktop
250,u001050,2024-10-09 00:31:34,Direct,,/case-studies,mobile
251,u001286,2024-07-26 10:05:17,Paid Social,4.0,/pricing,tablet
252,u000746,2024-11-03 07:08:49,Organic,,/case-studies,mobile
253,u000096,2024-09-26 13:31:13,Video,5.0,/case-studies,desktop
254,u001246,2024-03-19 09:06:06,Paid Social,4.0,/blog,mobile
255,u001578,2024-06-08 18:50:26,Search,1.0,/blog,tablet
256,u000411,2024-07-16 09:25:31,Video,5.0,/,mobile
257,u000439,2024-04-24 02:40:10,Direct,,/pricing,desktop
258,u000027,2024-02-18 12:33:39,Search,1.0,/case-studies,desktop
259,u000510,2024-02-12 09:50:59,Direct,,/case-studies,desktop
260,u001083,2024-08-13 17:57:32,Paid Social,4.0,/pricing,desktop
261,u001436,2024-08-01 16:35:07,Organic,,/product,mobile
262,u001417,2024-01-02 01:08:46,Direct,,/demo,desktop
263,u000294,2024-09-11 23:29:06,Paid Social,4.0,/demo,tablet
264,u000299,2024-10-27 22:08:14,Direct,,/demo,tablet
265,u001537,2024-12-18 01:58:40,Direct,,/case-studies,tablet
266,u001506,2024-02-06 15:14:27,Paid Social,3.0,/,mobile
267,u001473,2024-02-02 19:56:59,Search,2.0,/demo,tablet
268,u000778,2024-08-22 20:18:45,Organic,,/pricing,tablet
269,u000810,2024-08-29 12:21:58,Organic,,/,tablet
270,u001184,2024-04-19 09:23:52,Direct,,/demo,desktop
271,u000434,2024-06-10 17:15:29,Video,5.0,/,mobile
272,u000431,2024-01-31 21:52:51,Paid Social,4.0,/pricing,desktop
273,u001334,2024-05-07 08:07:14,Search,1.0,/pricing,tablet
274,u000882,2024-11-14 21:55:12,Search,2.0,/case-studies,desktop
275,u001577,2024-04-11 19:52:29,Direct,,/pricing,tablet
276,u000792,2024-05-30 11:59:40,Paid Social,3.0,/pricing,tablet
277,u000009,2024-09-21 11:05:15,Direct,,/,mobile
278,u000931,2024-12-27 04:32:20,Organic,,/,desktop
279,u000100,2024-08-19 17:26:46,Direct,,/,tablet
280,u000672,2024-11-04 21:18:32,Organic,,/,mobile
281,u001046,2024-10-16 17:20:57,Paid Social,4.0,/case-studies,desktop
282,u001787,2024-04-01 11:15:39,Direct,,/case-studies,desktop
283,u000847,2024-09-13 16:13:10,Direct,,/blog,tablet
284,u001135,2024-09-04 00:41:54,Search,1.0,/demo,desktop
285,u000012,2024-07-15 12:18:16,Video,5.0,/demo,desktop
286,u001281,2024-09-11 11:14:07,Direct,,/demo,tablet
287,u000544,2024-03-14 16:44:40,Search,2.0,/pricing,tablet
288,u000707,2024-05-18 22:52:17,Paid Social,4.0,/pricing,tablet
289,u000330,2024-07-04 06:07:10,Direct,,/,desktop
290,u001627,2024-03-29 23:40:27,Organic,,/pricing,mobile
291,u000698,2024-08-10 03:10:56,Organic,,/,mobile
292,u001617,2024-11-05 15:25:32,Direct,,/demo,tablet
293,u000437,2024-10-14 21:23:25,Affiliate,6.0,/,mobile
294,u000356,2024-02-27 17:31:01,Paid Social,4.0,/product,tablet
295,u001135,2024-08-27 00:41:02,Organic,,/pricing,mobile
296,u001735,2024-02-17 20:06:02,Search,2.0,/product,tablet
297,u000346,2024-01-10 00:55:45,Organic,,/product,mobile
298,u000200,2024-08-13 04:16:29,Organic,,/pricing,tablet
299,u000632,2024-04-23 06:29:03,Organic,,/blog,desktop
300,u000669,2024-02-09 23:11:09,Direct,,/pricing,tablet
301,u000812,2024-09-16 03:30:45,Direct,,/blog,desktop
302,u001528,2024-03-27 17:55:19,Search,1.0,/pricing,desktop
303,u000658,2024-01-27 09:37:08,Direct,,/pricing,desktop
304,u001683,2024-11-20 16:41:02,Organic,,/blog,mobile
305,u000172,2024-05-27 13:04:52,Search,2.0,/blog,tablet
306,u001419,2024-08-07 07:57:49,Organic,,/pricing,mobile
307,u001474,2024-07-14 22:15:13,Search,2.0,/,desktop
308,u000998,2024-07-28 23:24:46,Organic,,/,tablet
309,u001138,2024-06-22 08:46:57,Search,2.0,/pricing,tablet
310,u000247,2024-09-01 00:44:07,Organic,,/product,mobile
311,u001480,2024-11-20 12:25:54,Direct,,/,desktop
312,u001068,2024-07-30 01:12:53,Paid Social,3.0,/case-studies,tablet
313,u000004,2024-05-13 18:57:02,Organic,,/case-studies,mobile
314,u001785,2024-09-20 05:44:05,Paid Social,4.0,/,tablet
315,u000835,2024-06-04 18:47:30,Direct,,/demo,tablet
316,u001769,2024-06-22 22:04:15,Paid Social,4.0,/blog,desktop
317,u001536,2024-01-08 20:48:41,Organic,,/demo,mobile
318,u001159,2024-11-06 23:06:04,Search,2.0,/case-studies,mobile
319,u000619,2024-04-26 16:28:35,Direct,,/,mobile
320,u000327,2024-10-15 20:59:04,Organic,,/blog,tablet
321,u000643,2024-02-01 00:02:36,Paid Social,4.0,/demo,desktop
322,u001101,2024-10-06 00:01:49,Organic,,/case-studies,mobile
323,u000755,2024-09-09 14:36:26,Paid Social,3.0,/,tablet
324,u000415,2024-05-09 06:11:17,Affiliate,6.0,/blog,desktop
325,u000968,2024-10-10 23:50:42,Organic,,/demo,tablet
326,u001714,2024-08-05 08:20:46,Direct,,/pricing,tablet
327,u001130,2024-04-01 17:20:49,Paid Social,4.0,/demo,mobile
328,u001405,2024-08-20 05:46:53,Direct,,/product,desktop
329,u000649,2024-05-01 07:51:41,Organic,,/product,tablet
330,u001527,2024-06-11 07:39:31,Search,2.0,/product,desktop
331,u001542,2024-09-04 01:52:51,Search,1.0,/case-studies,desktop
332,u000417,2024-03-17 09:50:34,Direct,,/case-studies,mobile
333,u001108,2024-12-21 05:35:56,Video,5.0,/,tablet
334,u000380,2024-10-15 22:03:49,Affiliate,6.0,/blog,desktop
335,u001223,2024-03-23 16:50:24,Search,2.0,/pricing,tablet
336,u000527,2024-08-20 15:15:15,Search,1.0,/product,tablet
337,u001659,2024-03-23 11:00:15,Organic,,/case-studies,mobile
338,u001737,2024-01-14 20:49:06,Direct,,/demo,tablet
339,u000129,2024-04-07 14:24:19,Direct,,/pricing,tablet
340,u000349,2024-09-23 21:44:20,Organic,,/case-studies,mobile
341,u001046,2024-03-07 08:44:19,Search,1.0,/case-studies,desktop
342,u001431,2024-02-16 10:23:31,Search,2.0,/case-studies,tablet
343,u000813,2024-03-31 10:36:58,Direct,,/demo,tablet
344,u001419,2024-05-25 17:17:50,Video,5.0,/blog,mobile
345,u000032,2024-10-07 03:31:45,Direct,,/case-studies,desktop
346,u000772,2024-11-26 13:42:56,Search,2.0,/pricing,tablet
347,u001346,2024-03-19 16:34:20,Organic,,/demo,tablet
348,u001290,2024-03-24 15:18:49,Search,2.0,/blog,desktop
349,u001202,2024-07-17 01:55:17,Direct,,/case-studies,mobile
350,u000123,2024-08-18 08:12:29,Search,2.0,/demo,desktop
351,u000699,2024-11-23 00:37:53,Direct,,/product,desktop
352,u001052,2024-01-07 17:57:21,Organic,,/,desktop
353,u001391,2024-12-07 06:55:00,Search,1.0,/pricing,mobile
354,u000212,2024-06-07 08:44:50,Affiliate,6.0,/case-studies,mobile
355,u000351,2024-09-12 20:30:13,Organic,,/product,mobile
356,u000646,2024-06-18 10:36:55,Affiliate,6.0,/,mobile
357,u001737,2024-10-30 06:57:20,Direct,,/case-studies,desktop
358,u001693,2024-01-11 05:01:04,Direct,,/product,tablet
359,u000374,2024-09-11 11:25:56,Affiliate,6.0,/blog,desktop
360,u001681,2024-04-05 19:08:15,Direct,,/demo,desktop
361,u001609,2024-01-09 17:02:49,Paid Social,3.0,/pricing,mobile
362,u000382,2024-05-09 09:04:50,Paid Social,4.0,/case-studies,tablet
363,u000918,2024-11-08 11:32:26,Direct,,/pricing,desktop
364,u001644,2024-12-06 02:45:59,Direct,,/blog,desktop
365,u000243,2024-02-21 06:46:54,Organic,,/case-studies,tablet
366,u000419,2024-10-24 04:49:18,Direct,,/case-studies,tablet
367,u001698,2024-12-19 07:14:07,Affiliate,6.0,/,mobile
368,u000690,2024-11-21 18:21:32,Affiliate,6.0,/,desktop
369,u001640,2024-09-27 09:06:38,Search,2.0,/product,desktop
370,u001630,2024-02-04 17:04:47,Video,5.0,/demo,mobile
371,u001663,2024-10-03 13:53:27,Paid Social,4.0,/,tablet
372,u001180,2024-02-19 12:32:43,Search,2.0,/pricing,desktop
373,u001058,2024-07-15 08:18:18,Video,5.0,/,desktop
374,u001727,2024-11-29 16:45:21,Video,5.0,/blog,desktop
375,u000844,2024-10-11 10:04:35,Search,2.0,/blog,desktop
376,u001266,2024-11-13 10:14:52,Direct,,/,desktop
377,u000499,2024-12-02 18:15:31,Organic,,/case-studies,mobile
378,u001581,2024-03-05 11:43:16,Search,2.0,/pricing,desktop
379,u000540,2024-04-18 07:26:21,Direct,,/demo,tablet
380,u001629,2024-09-26 09:53:44,Paid Social,4.0,/pricing,tablet
381,u001593,2024-05-04 11:24:16,Organic,,/blog,desktop
382,u000702,2024-06-19 18:17:23,Organic,,/pricing,desktop
383,u000742,2024-11-10 02:33:46,Search,2.0,/demo,tablet
384,u000914,2024-04-22 19:56:41,Paid Social,3.0,/case-studies,mobile
385,u000562,2024-07-18 18:12:30,Organic,,/,tablet
386,u000241,2024-02-24 20:22:17,Affiliate,6.0,/case-studies,desktop
387,u000655,2024-07-28 03:34:14,Affiliate,6.0,/demo,desktop
388,u000466,2024-03-20 00:24:24,Paid Social,4.0,/,mobile
389,u000363,2024-03-23 06:57:51,Affiliate,6.0,/pricing,desktop
390,u001288,2024-10-07 10:05:55,Organic,,/blog,tablet
391,u001124,2024-11-25 05:17:52,Direct,,/product,desktop
392,u001006,2024-07-03 19:46:24,Search,1.0,/product,mobile
393,u000178,2024-05-14 11:26:11,Organic,,/product,desktop
394,u001466,2024-03-17 10:10:15,Search,2.0,/pricing,desktop
395,u001632,2024-10-14 23:22:18,Video,5.0,/pricing,desktop
396,u001675,2024-08-10 08:23:31,Affiliate,6.0,/,mobile
397,u001329,2024-04-25 14:36:30,Organic,,/case-studies,mobile
398,u000106,2024-02-22 13:03:02,Video,5.0,/product,desktop
399,u001225,2024-09-19 04:10:02,Search,1.0,/product,mobile
400,u000823,2024-04-05 15:46:34,Organic,,/demo,mobile
401,u001692,2024-04-16 14:59:18,Paid Social,4.0,/,tablet
402,u001549,2024-12-30 02:22:33,Organic,,/pricing,desktop
403,u001633,2024-06-05 09:11:18,Search,2.0,/blog,desktop
404,u000127,2024-10-15 12:23:56,Search,2.0,/blog,tablet
405,u001340,2024-01-30 11:41:47,Search,2.0,/,mobile
406,u001105,2024-02-16 16:29:34,Video,5.0,/,desktop
407,u001130,2024-03-06 09:13:45,Paid Social,4.0,/demo,tablet
408,u000951,2024-07-07 07:29:22,Paid Social,3.0,/product,desktop
409,u001670,2024-05-01 06:39:16,Direct,,/case-studies,tablet
410,u000104,2024-10-05 22:19:36,Search,2.0,/case-studies,desktop
411,u000629,2024-10-22 09:10:56,Direct,,/pricing,tablet
412,u000086,2024-10-24 16:33:22,Direct,,/pricing,tablet
413,u000347,2024-11-22 03:41:14,Paid Social,3.0,/demo,tablet
414,u001738,2024-03-08 19:21:52,Organic,,/pricing,desktop
